HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4
030701030708,5120000.0,6320000.0,41200000.0,17240000.0,0.0
030601050203,53120000.0,6920000.0,43760000.0,37840000.0,0.0
031300020101,21520000.0,39400000.0,12480000.0,0.0,0.0
031300020208,8960000.0,45640000.0,32560000.0,21880000.0,0.0
030701030602,2800000.0,8840000.0,45720000.0,16400000.0,0.0
031300011204,24760000.0,32400000.0,5280000.0,0.0,0.0
030601050402,23040000.0,4560000.0,38680000.0,15320000.0,0.0
030701030104,12280000.0,66280000.0,18560000.0,160000.0,0.0
030601050303,38040000.0,6040000.0,37800000.0,20400000.0,0.0
030701011301,3120000.0,6440000.0,33400000.0,11320000.0,0.0
030601050201,46920000.0,6760000.0,61040000.0,19160000.0,0.0
030701011304,10440000.0,4640000.0,37720000.0,14720000.0,0.0
030701010703,9200000.0,1400000.0,14760000.0,7880000.0,0.0
030601060303,9240000.0,1600000.0,12480000.0,4000000.0,0.0
030601050105,25560000.0,3880000.0,34560000.0,8960000.0,0.0
030701010906,13760000.0,1120000.0,24640000.0,27600000.0,0.0
031300011202,14080000.0,52800000.0,9600000.0,0.0,0.0
031300011106,3880000.0,12160000.0,5840000.0,1320000.0,0.0
030701010702,14000000.0,1960000.0,23800000.0,17240000.0,0.0
030701030501,7440000.0,31920000.0,42200000.0,13360000.0,0.0
030701010701,14200000.0,2080000.0,22720000.0,37600000.0,0.0
031300020102,8680000.0,47360000.0,17760000.0,9400000.0,0.0
030701010904,13280000.0,3960000.0,33640000.0,23320000.0,0.0
030701030705,2280000.0,10440000.0,25920000.0,14080000.0,0.0
030601050204,20000000.0,2200000.0,34120000.0,22520000.0,0.0
030701030706,2240000.0,13800000.0,53040000.0,18360000.0,0.0
030601050102,32520000.0,4160000.0,25880000.0,22080000.0,0.0
030701010905,4360000.0,600000.0,19080000.0,15200000.0,0.0
030601050101,27560000.0,2840000.0,31200000.0,19400000.0,0.0
030701010903,2120000.0,12120000.0,33800000.0,11440000.0,0.0
031300020207,200000.0,1280000.0,520000.0,200000.0,0.0
031300011105,4240000.0,20240000.0,7480000.0,9120000.0,0.0
030701010704,14200000.0,2400000.0,22880000.0,30440000.0,0.0
031300011104,17600000.0,26920000.0,4800000.0,480000.0,0.0
030701010604,7120000.0,1000000.0,11840000.0,12160000.0,0.0
030601050206,26240000.0,4640000.0,31800000.0,13000000.0,0.0
030701010605,5080000.0,280000.0,17280000.0,33120000.0,0.0
030701030703,80000.0,6760000.0,24920000.0,5000000.0,0.0
030701030403,6920000.0,34800000.0,14000000.0,320000.0,0.0
030701010606,4320000.0,360000.0,12600000.0,28040000.0,0.0
030601050104,27280000.0,3600000.0,58560000.0,32720000.0,0.0
031300011201,26240000.0,62680000.0,10160000.0,0.0,0.0
030701030503,2880000.0,29160000.0,47000000.0,800000.0,0.0
030601050202,19360000.0,3240000.0,41440000.0,17320000.0,0.0
030601050401,23480000.0,4000000.0,41800000.0,23960000.0,0.0
030601050205,24280000.0,3400000.0,35280000.0,12280000.0,0.0
