HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3
031200011002,48040000.0,17120000.0,0.0,0.0
031102050403,83240000.0,5560000.0,0.0,0.0
031102060206,52520000.0,17080000.0,0.0,0.0
031200011101,47120000.0,10080000.0,0.0,0.0
031300120601,119120000.0,19360000.0,0.0,0.0
031101020401,59360000.0,2760000.0,0.0,0.0
031101030505,58680000.0,23560000.0,0.0,0.0
031101020104,65800000.0,27480000.0,0.0,0.0
031101020302,99320000.0,11240000.0,0.0,0.0
031102060207,50520000.0,21000000.0,0.0,0.0
031300110502,55040000.0,4080000.0,0.0,0.0
031200030704,19800000.0,14360000.0,5840000.0,0.0
031102060202,45320000.0,6640000.0,120000.0,0.0
031102050202,119200000.0,16720000.0,0.0,0.0
031101030504,40120000.0,5600000.0,0.0,0.0
031102060603,102920000.0,6920000.0,0.0,0.0
030801031102,27280000.0,20120000.0,0.0,0.0
031200031001,1320000.0,31600000.0,37400000.0,0.0
031200010704,51160000.0,4440000.0,8280000.0,16680000.0
031200010801,0.0,34760000.0,32640000.0,960000.0
031200010605,43440000.0,11080000.0,3320000.0,1280000.0
031200030702,45480000.0,7080000.0,80000.0,0.0
031300110503,35360000.0,4240000.0,0.0,0.0
030801030904,50120000.0,49800000.0,6320000.0,1000000.0
031200030805,31360000.0,48680000.0,15440000.0,0.0
031200030701,49680000.0,4400000.0,0.0,0.0
030801031001,5040000.0,48320000.0,39480000.0,10560000.0
031102050402,89880000.0,5000000.0,0.0,0.0
031102060602,61680000.0,8280000.0,0.0,0.0
031102050404,95080000.0,12840000.0,0.0,0.0
031102050201,68800000.0,3520000.0,0.0,0.0
031401010301,38440000.0,19960000.0,0.0,0.0
031200011103,52040000.0,13800000.0,0.0,0.0
030801031204,82400000.0,25680000.0,0.0,0.0
031102050302,36720000.0,5440000.0,0.0,0.0
031200010504,34480000.0,20200000.0,2200000.0,0.0
031101020201,30080000.0,1520000.0,0.0,0.0
031102060601,33800000.0,3240000.0,80000.0,0.0
031102060402,53680000.0,51520000.0,0.0,0.0
031101020301,61560000.0,20080000.0,0.0,0.0
031300120504,56920000.0,16520000.0,0.0,0.0
031200030703,40560000.0,4960000.0,0.0,0.0
031401010201,29360000.0,20080000.0,0.0,0.0
031101020103,110960000.0,20640000.0,0.0,0.0
031300110501,43800000.0,9720000.0,0.0,0.0
030801031103,40320000.0,9960000.0,0.0,0.0
031102050401,62040000.0,9160000.0,0.0,0.0
031102050304,97640000.0,3200000.0,0.0,0.0
031102060205,30040000.0,16080000.0,0.0,0.0
031300120505,96040000.0,42040000.0,0.0,0.0
031101030503,44760000.0,23280000.0,4560000.0,0.0
031200030804,41600000.0,19600000.0,5320000.0,0.0
031102050104,39040000.0,27200000.0,12160000.0,0.0
031300120503,53320000.0,29480000.0,0.0,0.0
031200010701,4680000.0,26160000.0,35720000.0,8280000.0
031200010503,47400000.0,23560000.0,1360000.0,0.0
031200010604,53440000.0,30120000.0,0.0,0.0
031102060401,78520000.0,59160000.0,13960000.0,0.0
031102010801,77320000.0,4560000.0,0.0,0.0
031200030803,14240000.0,30480000.0,11600000.0,0.0
031200010602,19040000.0,19880000.0,3600000.0,0.0
031200030605,49240000.0,5840000.0,0.0,0.0
031101030502,34920000.0,26880000.0,40000.0,0.0
031200010603,32960000.0,18320000.0,18920000.0,28560000.0
031200030604,48720000.0,5520000.0,0.0,0.0
031200030801,67880000.0,9640000.0,0.0,0.0
030801031004,25560000.0,27840000.0,11080000.0,0.0
031101020102,34920000.0,56280000.0,2680000.0,0.0
030702040401,36320000.0,57960000.0,3600000.0,0.0
031300110404,32720000.0,440000.0,0.0,0.0
031101030501,6960000.0,19120000.0,16400000.0,0.0
030702040402,26120000.0,36840000.0,1680000.0,0.0
030801031303,34080000.0,8920000.0,0.0,0.0
031102060201,28080000.0,60000000.0,0.0,0.0
031102050303,142520000.0,12440000.0,0.0,0.0
031401010102,40280000.0,27800000.0,0.0,0.0
031102050103,34000000.0,45600000.0,6720000.0,0.0
031102010703,40640000.0,31400000.0,27280000.0,0.0
031101030406,0.0,54400000.0,9040000.0,0.0
031300110402,37760000.0,3280000.0,0.0,0.0
031200030802,18720000.0,2080000.0,240000.0,0.0
031101030404,0.0,21560000.0,16640000.0,0.0
031200010501,3000000.0,20360000.0,15280000.0,0.0
031200010404,36080000.0,1320000.0,0.0,0.0
031300110403,72360000.0,4400000.0,0.0,0.0
030801031101,56720000.0,8040000.0,240000.0,0.0
031300120502,93760000.0,13440000.0,40000.0,0.0
031200030502,44240000.0,3600000.0,0.0,0.0
031200010601,66760000.0,3440000.0,160000.0,0.0
031200030303,19320000.0,3000000.0,0.0,0.0
030801031002,57080000.0,57040000.0,8160000.0,0.0
031101030403,6080000.0,100360000.0,3080000.0,0.0
031102050301,127520000.0,14320000.0,0.0,0.0
030801031304,44800000.0,4280000.0,0.0,0.0
031401010101,49880000.0,16720000.0,0.0,0.0
031200010403,35040000.0,2280000.0,0.0,0.0
031102050102,110800000.0,16000000.0,960000.0,0.0
031102050105,107560000.0,25360000.0,5960000.0,0.0
031300120501,75080000.0,34840000.0,0.0,0.0
031200030603,85400000.0,4680000.0,0.0,0.0
030801031301,69360000.0,22120000.0,0.0,0.0
031200010402,44120000.0,6920000.0,920000.0,0.0
031101020101,55840000.0,17520000.0,600000.0,0.0
031200030404,55800000.0,840000.0,0.0,0.0
031102050101,65440000.0,21160000.0,200000.0,0.0
031300110401,57480000.0,7280000.0,0.0,0.0
031101030304,15720000.0,3760000.0,120000.0,0.0
031200010303,0.0,59440000.0,5280000.0,0.0
031102010802,95080000.0,18280000.0,1600000.0,0.0
030801031302,73400000.0,15280000.0,0.0,0.0
030802010601,73400000.0,14640000.0,0.0,0.0
030702040403,26240000.0,36520000.0,0.0,0.0
030702040301,30680000.0,36840000.0,22720000.0,0.0
031101030405,0.0,52680000.0,4400000.0,0.0
031200030602,49400000.0,840000.0,0.0,0.0
030702040201,15960000.0,56840000.0,19760000.0,0.0
031200030501,57480000.0,920000.0,0.0,0.0
030801031003,78600000.0,66120000.0,9760000.0,0.0
031200030302,36720000.0,4600000.0,0.0,0.0
031300110303,36400000.0,3000000.0,0.0,0.0
031102030906,47080000.0,2400000.0,0.0,0.0
031102010704,62480000.0,40280000.0,15040000.0,0.0
031300120403,29480000.0,8440000.0,0.0,0.0
030702040302,11440000.0,28120000.0,2280000.0,0.0
031300120408,49280000.0,50080000.0,3000000.0,0.0
031101030303,39840000.0,28400000.0,280000.0,0.0
031101030402,10240000.0,61240000.0,8320000.0,0.0
031200010401,27680000.0,16480000.0,5440000.0,1320000.0
031200030301,61520000.0,11400000.0,1360000.0,0.0
031200010302,16680000.0,23040000.0,7080000.0,80000.0
031300110202,54680000.0,2200000.0,0.0,0.0
030801031404,34240000.0,1000000.0,0.0,0.0
031300110203,61640000.0,4600000.0,0.0,0.0
031300110302,31080000.0,45080000.0,2280000.0,0.0
031200030403,43560000.0,5440000.0,0.0,0.0
031102010902,52800000.0,12000000.0,200000.0,0.0
031200030402,33760000.0,1240000.0,0.0,0.0
031402030803,83240000.0,12040000.0,0.0,0.0
031200030601,42560000.0,1480000.0,0.0,0.0
030801031201,11400000.0,4280000.0,0.0,0.0
031402030804,91080000.0,7520000.0,0.0,0.0
031102010904,31320000.0,24360000.0,9440000.0,0.0
030702040303,18080000.0,23880000.0,0.0,0.0
030801031403,59520000.0,1800000.0,0.0,0.0
031102030907,49160000.0,90080000.0,5040000.0,0.0
031102010604,19320000.0,22760000.0,600000.0,0.0
030702040501,82520000.0,36440000.0,0.0,0.0
031200030401,36560000.0,4040000.0,0.0,0.0
031200030104,800000.0,2040000.0,10760000.0,20000000.0
031101030305,2480000.0,49560000.0,2040000.0,0.0
030702040202,33880000.0,35120000.0,6520000.0,0.0
031402030802,61280000.0,5720000.0,0.0,0.0
030801031402,64160000.0,2880000.0,0.0,0.0
031200010301,4120000.0,24880000.0,22480000.0,4640000.0
031300120401,67760000.0,35440000.0,3080000.0,0.0
030801031604,25400000.0,18040000.0,0.0,0.0
030801031602,28360000.0,1280000.0,0.0,0.0
031300110102,55840000.0,4880000.0,0.0,0.0
031102010804,23520000.0,40440000.0,4560000.0,0.0
030801031401,66760000.0,9440000.0,0.0,0.0
031300110201,8520000.0,48280000.0,1880000.0,0.0
031102010701,21480000.0,52040000.0,3760000.0,0.0
031300120405,34360000.0,29200000.0,2240000.0,0.0
031101030401,0.0,37720000.0,4600000.0,0.0
031102010702,31760000.0,61520000.0,18280000.0,0.0
031101030205,0.0,55440000.0,6040000.0,0.0
030801031405,39800000.0,80000.0,0.0,0.0
031300110301,3600000.0,64640000.0,2800000.0,0.0
031300120404,42120000.0,52120000.0,840000.0,0.0
031200030106,52120000.0,20400000.0,4000000.0,1480000.0
031200010203,5960000.0,55720000.0,33520000.0,0.0
031102030905,0.0,45960000.0,6880000.0,0.0
031300120407,80000.0,65560000.0,10080000.0,0.0
031200030207,59440000.0,6120000.0,160000.0,0.0
031200030208,35040000.0,3200000.0,0.0,0.0
031300120402,0.0,33200000.0,2680000.0,0.0
031102010606,50320000.0,55400000.0,200000.0,0.0
031200030105,2680000.0,18240000.0,14960000.0,19720000.0
031102010603,16240000.0,25040000.0,3800000.0,0.0
030702040105,51360000.0,34680000.0,0.0,0.0
030702040203,5200000.0,59400000.0,0.0,0.0
031101030302,26040000.0,53360000.0,4600000.0,0.0
031102010903,45360000.0,36080000.0,8320000.0,0.0
030702040502,77960000.0,52280000.0,0.0,0.0
031102030908,0.0,99760000.0,8360000.0,0.0
031300110101,67760000.0,40480000.0,2040000.0,0.0
030801031503,79960000.0,1480000.0,0.0,0.0
031300120406,0.0,37120000.0,2120000.0,0.0
031102030904,8960000.0,132320000.0,3360000.0,0.0
031300040805,0.0,50360000.0,1480000.0,0.0
031102010905,25600000.0,62880000.0,4880000.0,0.0
030801031605,73080000.0,8760000.0,0.0,0.0
031101030204,0.0,62840000.0,8800000.0,0.0
031200030205,17160000.0,2440000.0,0.0,0.0
031200030103,0.0,1200000.0,23520000.0,57720000.0
031200010202,0.0,4840000.0,29160000.0,19960000.0
031102010605,43880000.0,25160000.0,1040000.0,0.0
031300120304,0.0,65000000.0,1440000.0,0.0
031102021202,8040000.0,42640000.0,7040000.0,0.0
031200010201,0.0,74360000.0,49800000.0,3600000.0
031102030903,13320000.0,36520000.0,4480000.0,0.0
031200030101,120000.0,14280000.0,400000.0,0.0
030801031502,79960000.0,6480000.0,0.0,0.0
031101030203,0.0,36800000.0,28240000.0,0.0
031300040806,1200000.0,30320000.0,3000000.0,0.0
031300080803,4480000.0,3880000.0,400000.0,0.0
031200030102,9520000.0,32680000.0,12320000.0,2280000.0
031102010602,17800000.0,67240000.0,44400000.0,0.0
030702040503,69360000.0,53320000.0,0.0,0.0
030801031501,66680000.0,16880000.0,0.0,0.0
031200030206,5440000.0,45800000.0,160000.0,0.0
031300120302,0.0,100000000.0,1680000.0,0.0
030702040104,38320000.0,23120000.0,0.0,0.0
