HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,InundationTotal_0,InundationTotal_1,InundationTotal_2,InundationTotal_3,InundationTotal_4,InundationTotal_5,InundationTotal_6
030702040901,7102850.0,1976450.0,2056450.0,1876525.0,1849775.0,1907975.0,2092550.0,7102850.0,9079300.0,11135750.0,13012275.0,14862050.0,16770025.0,18862575.0
030702030401,19951825.0,3432475.0,1674225.0,1418800.0,2729475.0,2506575.0,3431200.0,19951825.0,23384300.0,25058525.0,26477325.0,29206800.0,31713375.0,35144575.0
030702030402,114624475.0,1266750.0,1421225.0,1595425.0,1783925.0,2182025.0,2646875.0,114624475.0,115891225.0,117312450.0,118907875.0,120691800.0,122873825.0,125520700.0
030702011201,37880125.0,15615625.0,3447400.0,2334050.0,2299950.0,2289475.0,2525875.0,37880125.0,53495750.0,56943150.0,59277200.0,61577150.0,63866625.0,66392500.0
030702030503,241645050.0,2086250.0,1774350.0,1818325.0,3734950.0,2751050.0,3086025.0,241645050.0,243731300.0,245505650.0,247323975.0,251058925.0,253809975.0,256896000.0
030702011105,3705350.0,4300200.0,5375100.0,2818450.0,5667450.0,6938925.0,7673500.0,3705350.0,8005550.0,13380650.0,16199100.0,21866550.0,28805475.0,36478975.0
030702011202,14069175.0,25613600.0,6596525.0,2983400.0,2835125.0,4369900.0,9371325.0,14069175.0,39682775.0,46279300.0,49262700.0,52097825.0,56467725.0,65839050.0
030702030502,92253325.0,1289775.0,729625.0,1063600.0,819275.0,2983150.0,1729975.0,92253325.0,93543100.0,94272725.0,95336325.0,96155600.0,99138750.0,100868725.0
030702030302,45662825.0,3356950.0,1857725.0,2180775.0,2236550.0,2529350.0,3174575.0,45662825.0,49019775.0,50877500.0,53058275.0,55294825.0,57824175.0,60998750.0
030702030301,6641125.0,9481775.0,2237675.0,7360350.0,8715575.0,3284725.0,4009225.0,6641125.0,16122900.0,18360575.0,25720925.0,34436500.0,37721225.0,41730450.0
