UNIQUE,NOT_A_PRIORITY_FOR_SHARED_ACTION,CORRIDORS,MEDIUM_PRIORITY,HIGH_PRIORITY,HIGHEST_PRIORITY
363,0.0,16800000.0,6240000.0,0.0,0.0
364,0.0,23080000.0,0.0,0.0,0.0
365,0.0,23080000.0,0.0,0.0,0.0
366,0.0,0.0,0.0,23080000.0,0.0
367,0.0,0.0,0.0,23080000.0,0.0
368,0.0,0.0,0.0,23040000.0,0.0
369,0.0,0.0,0.0,23080000.0,0.0
370,0.0,0.0,0.0,23040000.0,0.0
371,0.0,0.0,0.0,23040000.0,0.0
372,0.0,0.0,0.0,23080000.0,0.0
373,0.0,0.0,0.0,20000000.0,3040000.0
374,0.0,0.0,0.0,19080000.0,4000000.0
375,0.0,0.0,0.0,19000000.0,4000000.0
376,0.0,0.0,0.0,23040000.0,0.0
377,0.0,0.0,0.0,23040000.0,0.0
378,0.0,0.0,5000000.0,18000000.0,0.0
379,0.0,0.0,20080000.0,2960000.0,0.0
380,0.0,0.0,23120000.0,0.0,0.0
381,0.0,0.0,23080000.0,0.0,0.0
382,0.0,5200000.0,17880000.0,0.0,0.0
383,0.0,21240000.0,1800000.0,0.0,0.0
384,0.0,23000000.0,0.0,0.0,0.0
385,0.0,0.0,0.0,23040000.0,0.0
386,0.0,0.0,0.0,23000000.0,0.0
387,0.0,0.0,0.0,23160000.0,0.0
388,0.0,0.0,0.0,23040000.0,0.0
389,0.0,0.0,0.0,22080000.0,920000.0
390,0.0,0.0,0.0,23080000.0,0.0
391,0.0,0.0,0.0,23080000.0,0.0
392,0.0,0.0,0.0,19720000.0,3360000.0
393,0.0,0.0,0.0,22440000.0,640000.0
394,0.0,0.0,0.0,23040000.0,0.0
395,0.0,0.0,0.0,23080000.0,0.0
396,0.0,0.0,800000.0,22280000.0,0.0
397,0.0,0.0,18160000.0,4880000.0,0.0
398,0.0,0.0,23040000.0,0.0,0.0
399,0.0,0.0,23040000.0,0.0,0.0
400,0.0,3240000.0,19800000.0,0.0,0.0
401,0.0,21160000.0,1960000.0,0.0,0.0
402,0.0,23040000.0,0.0,0.0,0.0
403,0.0,23040000.0,0.0,0.0,0.0
404,0.0,0.0,0.0,23160000.0,0.0
405,0.0,0.0,0.0,23000000.0,0.0
406,0.0,0.0,0.0,23040000.0,0.0
407,0.0,0.0,0.0,23080000.0,0.0
408,0.0,0.0,0.0,23080000.0,0.0
409,0.0,0.0,0.0,19960000.0,3080000.0
410,0.0,0.0,0.0,23040000.0,0.0
411,0.0,0.0,0.0,23040000.0,0.0
412,0.0,0.0,0.0,23120000.0,0.0
413,0.0,0.0,0.0,16760000.0,6280000.0
414,0.0,0.0,0.0,21320000.0,1720000.0
415,0.0,0.0,0.0,23080000.0,0.0
416,0.0,0.0,12720000.0,10320000.0,0.0
417,0.0,0.0,23120000.0,0.0,0.0
418,0.0,0.0,23080000.0,0.0,0.0
419,0.0,0.0,23040000.0,0.0,0.0
420,0.0,13280000.0,9760000.0,0.0,0.0
421,0.0,23040000.0,0.0,0.0,0.0
422,0.0,23040000.0,0.0,0.0,0.0
423,0.0,0.0,0.0,23000000.0,0.0
424,0.0,0.0,0.0,23000000.0,0.0
425,0.0,0.0,0.0,23160000.0,0.0
426,0.0,0.0,0.0,23040000.0,0.0
427,0.0,0.0,0.0,23000000.0,0.0
428,0.0,0.0,0.0,23040000.0,0.0
429,0.0,0.0,0.0,19080000.0,4000000.0
430,0.0,0.0,0.0,23080000.0,0.0
