HUC12,VALUE_1,VALUE_2,VALUE_3,VALUE_4
031102060101,139240000.0,0.0,0.0,0.0
031101020502,167080000.0,0.0,0.0,0.0
031401010701,42400000.0,0.0,0.0,0.0
031200031003,0.0,49400000.0,0.0,40000.0
030801030502,17480000.0,0.0,0.0,0.0
031401010503,47440000.0,40000.0,0.0,0.0
031300110603,0.0,0.0,240000.0,97600000.0
031102060104,62680000.0,0.0,0.0,0.0
030801030603,320000.0,104880000.0,0.0,0.0
031102050406,0.0,39760000.0,0.0,0.0
031200010901,21080000.0,0.0,0.0,0.0
031300130102,120000.0,40400000.0,0.0,0.0
031101020402,43840000.0,0.0,0.0,0.0
031300130103,59720000.0,80000.0,0.0,0.0
031200011102,65040000.0,0.0,0.0,0.0
031102050407,0.0,40000.0,0.0,31560000.0
031200030902,0.0,200000.0,0.0,67000000.0
031102060405,47880000.0,0.0,0.0,0.0
031101020405,100520000.0,0.0,0.0,0.0
031101020601,128200000.0,0.0,0.0,0.0
031101020203,89600000.0,0.0,0.0,0.0
031200010803,10000000.0,0.0,0.0,0.0
031102060103,99320000.0,0.0,0.0,0.0
030801030901,31280000.0,0.0,0.0,0.0
031102060102,47760000.0,0.0,0.0,0.0
031200030901,0.0,40000.0,0.0,61680000.0
031102060606,0.0,21640000.0,0.0,0.0
031102060208,53760000.0,0.0,0.0,0.0
031200010703,9440000.0,0.0,0.0,0.0
031102050203,32040000.0,40000.0,0.0,0.0
030801030902,120000.0,50880000.0,0.0,0.0
031102050405,0.0,200000.0,0.0,80200000.0
031101020404,96240000.0,0.0,0.0,0.0
031200031002,0.0,60400000.0,0.0,0.0
031102060605,1120000.0,40000.0,0.0,0.0
031200030705,200000.0,33000000.0,0.0,0.0
031300110601,0.0,38520000.0,0.0,160000.0
030801030804,0.0,80000.0,0.0,147520000.0
031300120602,0.0,16280000.0,0.0,0.0
031200011003,26320000.0,0.0,0.0,0.0
031300130101,34280000.0,120000.0,0.0,0.0
031102060404,31520000.0,0.0,0.0,0.0
030801030903,31360000.0,0.0,0.0,0.0
031101020303,90600000.0,0.0,0.0,0.0
031102050305,240000.0,73640000.0,0.0,0.0
031300110602,0.0,40080000.0,0.0,0.0
031200010802,27120000.0,0.0,0.0,0.0
031401010302,42600000.0,80000.0,0.0,0.0
031101020202,131280000.0,0.0,0.0,0.0
030801021102,29160000.0,0.0,0.0,0.0
030801030504,2480000.0,0.0,0.0,0.0
030801030503,40000.0,0.0,0.0,0.0
031102060604,520000.0,0.0,0.0,0.0
031300120603,0.0,80000.0,37040000.0,0.0
031102060204,84800000.0,0.0,0.0,0.0
031200011001,28320000.0,0.0,0.0,0.0
031102060403,32160000.0,0.0,0.0,0.0
031200010702,8680000.0,0.0,0.0,0.0
031200011002,69240000.0,0.0,0.0,0.0
031102060206,59080000.0,0.0,0.0,0.0
031200011101,1000000.0,0.0,0.0,0.0
031300120601,30600000.0,0.0,0.0,0.0
031101020401,69640000.0,0.0,0.0,0.0
031101030505,85920000.0,0.0,0.0,0.0
031101020104,151280000.0,0.0,0.0,0.0
031101020302,111120000.0,0.0,0.0,0.0
031102060207,54240000.0,0.0,0.0,0.0
031300110502,0.0,63400000.0,0.0,40000.0
031200030704,0.0,26840000.0,0.0,0.0
031102060202,40480000.0,0.0,0.0,0.0
031102050202,81000000.0,160000.0,0.0,0.0
031101030504,96800000.0,0.0,0.0,0.0
031102060603,30880000.0,0.0,0.0,0.0
030801031102,0.0,13960000.0,80000.0,0.0
031200031001,0.0,55160000.0,40000.0,160000.0
031200010704,8280000.0,0.0,0.0,0.0
031200010801,0.0,62800000.0,0.0,0.0
031200010605,1960000.0,0.0,0.0,0.0
031200030702,35800000.0,40000.0,0.0,0.0
031300110503,0.0,560000.0,0.0,73560000.0
030801030904,40000.0,39120000.0,40000.0,0.0
031200030805,0.0,120000.0,40000.0,55960000.0
031200030701,0.0,34640000.0,0.0,0.0
030801031001,240000.0,24800000.0,0.0,0.0
031102050402,0.0,5120000.0,0.0,0.0
031102060602,5600000.0,0.0,0.0,0.0
031102050201,280000.0,48560000.0,0.0,0.0
031401010301,24000000.0,40000.0,0.0,0.0
031200011103,73600000.0,0.0,0.0,0.0
030801031204,0.0,0.0,80000.0,115320000.0
031200010504,38200000.0,0.0,0.0,0.0
031101020201,80120000.0,0.0,0.0,0.0
031102060601,16400000.0,0.0,0.0,0.0
031102060402,76640000.0,0.0,0.0,0.0
031101020301,110360000.0,0.0,0.0,0.0
031300120504,0.0,480000.0,23120000.0,0.0
031200030703,40000.0,16120000.0,0.0,0.0
031401010201,0.0,11560000.0,0.0,0.0
031101020103,169360000.0,0.0,0.0,0.0
031300110501,0.0,23000000.0,0.0,0.0
030801031103,0.0,3040000.0,31360000.0,0.0
031102050304,0.0,9080000.0,0.0,0.0
031102060205,49360000.0,0.0,0.0,0.0
031300120505,40000.0,43400000.0,0.0,0.0
031101030503,92560000.0,0.0,0.0,0.0
031200030804,0.0,80000.0,46320000.0,40000.0
031102050104,160000.0,67240000.0,0.0,0.0
031300120503,13160000.0,6320000.0,0.0,0.0
031200010701,40000.0,41280000.0,40000.0,0.0
031200010503,55840000.0,0.0,0.0,0.0
031200010604,14440000.0,0.0,0.0,0.0
031102060401,86720000.0,0.0,0.0,0.0
031200030803,0.0,40000.0,40720000.0,0.0
031200010602,0.0,6560000.0,0.0,0.0
031200030605,0.0,20840000.0,0.0,0.0
031101030502,57400000.0,0.0,0.0,0.0
031200010603,16320000.0,0.0,0.0,0.0
031200030604,27440000.0,40000.0,0.0,0.0
031200030801,0.0,28160000.0,0.0,0.0
030801031004,0.0,120000.0,37360000.0,0.0
