CORRIDORS,HIGHEST_PRIORITY,HIGH_PRIORITY,HUC12,INLAND_WATERBODIES,MEDIUM_PRIORITY,NOT_A_PRIORITY_FOR_SHARED_ACTION
0.0,0.0,40000.0,031401010703,0.0,40000.0,0.0
3000000.0,80000.0,80000.0,031102060703,0.0,35800000.0,6600000.0
0.0,21480000.0,43640000.0,031300130203,0.0,6120000.0,0.0
2520000.0,92600000.0,4520000.0,031300120606,0.0,9120000.0,960000.0
9680000.0,40000.0,0.0,030801021101,0.0,320000.0,1880000.0
0.0,92680000.0,8800000.0,031200031202,0.0,9880000.0,40000.0
9880000.0,45840000.0,17480000.0,031102050504,0.0,15160000.0,60280000.0
160000.0,160000.0,2120000.0,031102050503,0.0,43720000.0,12800000.0
4360000.0,0.0,0.0,031101020703,0.0,40960000.0,46200000.0
7880000.0,120000.0,2800000.0,031101020504,0.0,21360000.0,67040000.0
0.0,69520000.0,4160000.0,031300110605,0.0,1800000.0,0.0
1560000.0,360000.0,11800000.0,031101020801,0.0,61200000.0,90800000.0
1880000.0,840000.0,45280000.0,031102050501,0.0,19320000.0,3760000.0
0.0,0.0,200000.0,031102060302,0.0,200000.0,0.0
40000.0,99160000.0,13600000.0,031300110801,0.0,9000000.0,0.0
0.0,3480000.0,2920000.0,031102060505,0.0,11440000.0,13840000.0
0.0,0.0,560000.0,031102060504,0.0,33760000.0,8040000.0
0.0,37200000.0,12200000.0,031200031201,0.0,7880000.0,0.0
0.0,880000.0,10200000.0,031101020501,0.0,58280000.0,81840000.0
0.0,74760000.0,12480000.0,031200030903,0.0,3280000.0,40000.0
0.0,20440000.0,58400000.0,031300130202,0.0,13640000.0,0.0
0.0,16720000.0,38720000.0,031300130301,0.0,6040000.0,0.0
0.0,5440000.0,5760000.0,031200010903,0.0,46880000.0,13560000.0
0.0,80000.0,240000.0,031101020403,0.0,20400000.0,38120000.0
0.0,94240000.0,32240000.0,031300110604,0.0,7000000.0,0.0
6000000.0,74640000.0,11560000.0,031102050502,0.0,8440000.0,1320000.0
0.0,18800000.0,21080000.0,031200031101,0.0,45240000.0,1200000.0
0.0,18960000.0,15280000.0,031300130201,0.0,11600000.0,0.0
0.0,16920000.0,26160000.0,031200031102,0.0,53840000.0,760000.0
0.0,43640000.0,480000.0,031300120605,13080000.0,6200000.0,7120000.0
0.0,0.0,0.0,031101020701,0.0,600000.0,83920000.0
1240000.0,13960000.0,5240000.0,031102060506,0.0,27080000.0,26760000.0
2440000.0,200000.0,78040000.0,031102060704,0.0,29000000.0,39440000.0
40000.0,0.0,0.0,030801030601,0.0,13360000.0,160000.0
0.0,0.0,10840000.0,031101020602,0.0,36720000.0,59720000.0
29960000.0,120000.0,200000.0,031101020604,0.0,57600000.0,106520000.0
34080000.0,640000.0,160000.0,031101020603,0.0,15800000.0,80520000.0
120000.0,80000.0,15640000.0,031102060503,0.0,17600000.0,21760000.0
0.0,5320000.0,13600000.0,031200010902,0.0,37240000.0,12960000.0
640000.0,17120000.0,54600000.0,031300120604,920000.0,12680000.0,24080000.0
4000000.0,97120000.0,37520000.0,031102060101,6960000.0,10400000.0,6280000.0
0.0,0.0,360000.0,031101020502,0.0,33040000.0,143520000.0
0.0,0.0,40000.0,031401010701,0.0,40000.0,80000.0
0.0,16760000.0,32640000.0,031200031003,0.0,6240000.0,0.0
520000.0,1240000.0,9040000.0,030801030502,40000.0,3600000.0,400000.0
40000.0,109280000.0,17080000.0,031300110603,0.0,2600000.0,0.0
1920000.0,0.0,6080000.0,031102060104,0.0,53720000.0,800000.0
2760000.0,0.0,0.0,030801030603,0.0,4320000.0,9760000.0
400000.0,160000.0,46320000.0,031102050406,0.0,6720000.0,19360000.0
0.0,400000.0,5960000.0,031200010901,0.0,28840000.0,40320000.0
0.0,14520000.0,29000000.0,031300130102,0.0,6920000.0,0.0
0.0,0.0,240000.0,031101020402,0.0,5040000.0,66680000.0
0.0,17880000.0,29960000.0,031300130103,0.0,25520000.0,0.0
0.0,15840000.0,33200000.0,031200011102,40000.0,35760000.0,3400000.0
2880000.0,30400000.0,3800000.0,031102050407,0.0,4520000.0,28920000.0
0.0,79560000.0,26720000.0,031200030902,0.0,10800000.0,200000.0
160000.0,2680000.0,2760000.0,031102060405,0.0,63360000.0,20840000.0
0.0,2680000.0,6880000.0,031101020405,0.0,33040000.0,55480000.0
0.0,0.0,1280000.0,031101020601,0.0,22280000.0,104640000.0
0.0,0.0,0.0,031101020203,0.0,3200000.0,115200000.0
0.0,24680000.0,15800000.0,031200010803,0.0,21880000.0,480000.0
560000.0,0.0,2120000.0,031102060103,12960000.0,85680000.0,18560000.0
6040000.0,0.0,36680000.0,030801030901,0.0,53480000.0,6880000.0
400000.0,4480000.0,7680000.0,031102060102,160000.0,47760000.0,26920000.0
