HUC12,VALUE_0,VALUE_1
031101020504,69240000.0,10240000.0
031300110605,1920000.0,19040000.0
031101020801,53880000.0,42400000.0
031102050501,12400000.0,35560000.0
031102060302,83120000.0,1480000.0
031300110801,6880000.0,65520000.0
031102060505,83600000.0,3000000.0
031102060504,103400000.0,7520000.0
031200031201,1360000.0,39560000.0
031101020501,81080000.0,19280000.0
031200030903,1560000.0,48000000.0
031300130202,440000.0,36000000.0
031300130301,880000.0,20960000.0
031200010903,17600000.0,14360000.0
031101020403,23440000.0,11840000.0
031300110604,9240000.0,56680000.0
031102050502,48080000.0,33200000.0
031200031101,20200000.0,30200000.0
031300130201,2400000.0,23120000.0
031200031102,22280000.0,35280000.0
031300120605,40120000.0,8520000.0
031101020701,69040000.0,360000.0
031102060506,74880000.0,3320000.0
031102060704,107760000.0,22040000.0
030801030601,55400000.0,42480000.0
031101020602,67200000.0,17760000.0
031101020604,100520000.0,37840000.0
031101020603,86360000.0,3880000.0
031102060503,62080000.0,7240000.0
031200010902,12840000.0,16160000.0
031300120604,69880000.0,31160000.0
031102060101,72560000.0,56520000.0
031101020502,106840000.0,24320000.0
031401010701,63480000.0,14400000.0
031200031003,600000.0,22240000.0
030801030502,82840000.0,10680000.0
031401010503,51600000.0,19600000.0
031300110603,28520000.0,35120000.0
031102060104,68160000.0,10200000.0
030801030603,116480000.0,14080000.0
031102050406,46880000.0,25800000.0
031200010901,46960000.0,18120000.0
031300130102,240000.0,22440000.0
031101020402,51160000.0,12320000.0
031300130103,1200000.0,36160000.0
031200011102,5840000.0,26440000.0
031102050407,42760000.0,19400000.0
031200030902,7840000.0,62240000.0
031102060405,65840000.0,20560000.0
031101020405,45200000.0,4440000.0
031101020601,67400000.0,26520000.0
031101020203,92640000.0,14960000.0
031200010803,3640000.0,40120000.0
031102060103,82480000.0,10080000.0
030801030901,33160000.0,61680000.0
031102060102,51720000.0,19680000.0
031200030901,19000000.0,43400000.0
031102060606,116680000.0,26960000.0
031102060208,60160000.0,8800000.0
031200010703,25440000.0,15040000.0
031102050203,51400000.0,21680000.0
030801030902,82800000.0,27720000.0
031102050405,113160000.0,38080000.0
031101020404,35800000.0,0.0
031200031002,2120000.0,73520000.0
031102060605,73480000.0,22240000.0
031200030705,14640000.0,30000000.0
031300110601,15240000.0,27720000.0
030801030804,173880000.0,6000000.0
031300120602,61840000.0,50080000.0
031200011003,25680000.0,24200000.0
031300130101,3320000.0,26120000.0
031102060404,75960000.0,17720000.0
030801030903,58160000.0,56440000.0
031101020303,102480000.0,10120000.0
031102050305,107080000.0,39000000.0
031300110602,19240000.0,59800000.0
031200010802,2520000.0,47800000.0
031401010302,55800000.0,24480000.0
031101020202,88840000.0,14640000.0
030801021102,28960000.0,7680000.0
030801030504,5680000.0,5360000.0
030801030503,21320000.0,5920000.0
031102060604,48480000.0,6200000.0
031300120603,43080000.0,29880000.0
031102060204,62400000.0,24960000.0
031200011001,54440000.0,38960000.0
031102060403,44520000.0,36480000.0
031200010702,4520000.0,25800000.0
031200011002,30720000.0,34920000.0
031102050403,70280000.0,18520000.0
031102060206,46640000.0,22960000.0
031200011101,39480000.0,17720000.0
031300120601,91600000.0,46880000.0
031101020401,61760000.0,360000.0
031101030505,67960000.0,14280000.0
031101020104,80800000.0,12520000.0
031101020302,96920000.0,13640000.0
031102060207,56560000.0,14960000.0
031300110502,34480000.0,24640000.0
031200030704,16760000.0,23240000.0
031102060202,48840000.0,3240000.0
031102050202,81200000.0,54720000.0
031101030504,44760000.0,960000.0
031102060603,95080000.0,14760000.0
030801031102,44680000.0,2720000.0
031200031001,1360000.0,68960000.0
031200010704,42520000.0,38040000.0
031200010801,10640000.0,57720000.0
031200010605,30920000.0,28200000.0
031200030702,41960000.0,10680000.0
031300110503,23320000.0,16280000.0
030801030904,83160000.0,24080000.0
031200030805,25000000.0,70480000.0
031200030701,48480000.0,5600000.0
030801031001,53760000.0,49640000.0
031102050402,81640000.0,13240000.0
031102060602,63400000.0,6560000.0
031102050404,94640000.0,13280000.0
031102050201,51400000.0,20920000.0
031401010301,40840000.0,17560000.0
031200011103,16800000.0,49040000.0
030801031204,95840000.0,13040000.0
031102050302,33480000.0,8680000.0
031200010504,38000000.0,18880000.0
031101020201,28520000.0,3080000.0
031102060601,37040000.0,80000.0
031102060402,71720000.0,33480000.0
031101020301,73120000.0,8520000.0
031300120504,33480000.0,39960000.0
031200030703,37080000.0,8440000.0
031401010201,40520000.0,8920000.0
031101020103,117240000.0,14360000.0
031300110501,27440000.0,26080000.0
030801031103,45120000.0,5160000.0
031102050401,51960000.0,19240000.0
