Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
76,576,23039999.99999999,70,85,15,71.5625,4.582149468317244,41220.0,2,70,85,70
77,576,23039999.99999999,54,54,0,54.0,0.0,31104.0,1,54,54,54
78,578,23119999.99999999,33,54,21,40.193771626297575,9.965884503691838,23232.0,2,33,54,33
79,577,23079999.99999999,24,33,9,32.78162911611785,1.3847931657875707,18915.0,2,33,24,33
80,576,23039999.99999999,15,33,18,23.553819444444443,7.823390364843944,13567.0,4,17,24,17
81,577,23079999.99999999,15,17,2,16.351819757365686,0.9360677637474486,9435.0,2,17,15,17
82,577,23079999.99999999,0,17,17,9.481802426343155,7.7213224015196396,5471.0,4,17,1,15
83,577,23079999.99999999,0,1,1,0.6429809358752167,0.47912049838871135,371.0,2,1,0,1
84,577,23079999.99999999,0,1,1,0.854419410745234,0.3526852439314708,493.0,2,1,0,1
85,576,23039999.99999999,1,1,0,1.0,0.0,576.0,1,1,1,1
86,576,23039999.99999999,1,1,0,1.0,0.0,576.0,1,1,1,1
87,576,23039999.99999999,1,1,0,1.0,0.0,576.0,1,1,1,1
88,1,39999.99999999998,93,93,0,93.0,0.0,93.0,1,93,93,93
89,119,4759999.999999997,93,98,5,97.03361344537815,1.9743428780625158,11547.0,2,98,93,98
90,559,22359999.99999999,98,98,0,98.0,0.0,54782.0,1,98,98,98
91,576,23039999.99999999,93,98,5,96.54166666666667,2.2726483572157736,55608.0,2,98,93,98
92,577,23079999.99999999,93,93,0,93.0,0.0,53661.0,1,93,93,93
93,577,23079999.99999999,77,93,16,90.19930675909879,6.080066547727032,52045.0,2,93,77,93
94,575,22999999.99999999,77,85,8,77.15304347826087,1.0958674736703555,44363.0,2,77,85,77
95,575,22999999.99999999,40,54,14,51.07826086956522,5.68926957348418,29370.0,2,54,40,54
96,578,23119999.99999999,24,54,30,36.226643598615915,8.16920007779467,20939.0,4,33,40,33
97,576,23039999.99999999,33,33,0,33.0,0.0,19008.0,1,33,33,33
98,575,22999999.99999999,17,33,16,21.730434782608697,7.301365850936722,12495.0,2,17,33,17
99,576,23039999.99999999,17,17,0,17.0,0.0,9792.0,1,17,17,17
100,575,22999999.99999999,0,17,17,7.0660869565217395,8.37817959844159,4063.0,2,0,17,0
101,578,23119999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
102,575,22999999.99999999,0,1,1,0.4678260869565217,0.4989637655376096,269.0,2,0,1,0
103,576,23039999.99999999,1,1,0,1.0,0.0,576.0,1,1,1,1
104,577,23079999.99999999,1,1,0,1.0,0.0,577.0,1,1,1,1
105,18,719999.9999999997,93,98,5,96.05555555555556,2.437490107608849,1729.0,2,98,93,98
106,578,23119999.99999999,93,98,5,96.56055363321799,1.6670948472786415,55812.0,3,98,93,96
107,577,23079999.99999999,96,98,2,96.93240901213171,0.9977131142566049,55930.0,2,96,98,96
108,575,22999999.99999999,88,98,10,94.46782608695652,3.5320039348565118,54319.0,4,98,88,96
109,577,23079999.99999999,88,93,5,91.91681109185441,2.0597685136925215,53036.0,2,93,88,93
110,577,23079999.99999999,68,93,25,87.27036395147314,7.585882996598041,50355.0,4,93,68,93
111,576,23039999.99999999,77,77,0,77.0,0.0,44352.0,1,77,77,77
112,577,23079999.99999999,40,59,19,57.05719237435009,5.7566347302104175,32922.0,2,59,40,59
113,575,22999999.99999999,40,40,0,40.0,0.0,23000.0,1,40,40,40
114,576,23039999.99999999,24,40,16,39.833333333333336,1.6244657241348273,22944.0,2,40,24,40
115,578,23119999.99999999,24,40,16,24.486159169550174,2.7263894503303607,14153.0,3,24,33,24
116,576,23039999.99999999,24,33,9,24.96875,2.7893141518122335,14382.0,2,24,33,24
117,578,23119999.99999999,4,33,29,10.05363321799308,8.639386088724038,5811.0,4,4,33,4
118,576,23039999.99999999,4,17,13,9.506944444444445,6.423693693162855,5476.0,2,4,17,4
119,577,23079999.99999999,0,17,17,3.024263431542461,6.085989865067929,1745.0,3,0,4,0
120,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
121,576,23039999.99999999,0,15,15,1.3559027777777777,3.2334084856374528,781.0,3,1,15,1
122,577,23079999.99999999,1,1,0,1.0,0.0,577.0,1,1,1,1
123,575,22999999.99999999,1,1,0,1.0,0.0,575.0,1,1,1,1
124,144,5759999.999999997,98,98,0,98.0,0.0,14112.0,1,98,98,98
125,577,23079999.99999999,96,98,2,96.54072790294627,0.8882956382125518,55704.0,2,96,98,96
126,576,23039999.99999999,88,88,0,88.0,0.0,50688.0,1,88,88,88
127,576,23039999.99999999,68,88,20,78.13888888888889,9.999035447309074,45008.0,2,88,68,88
128,578,23119999.99999999,68,77,9,68.90311418685121,2.7041472680253182,39826.0,2,68,77,68
129,575,22999999.99999999,46,77,31,62.39478260869565,11.134074948227234,35877.0,4,68,59,68
130,576,23039999.99999999,46,59,13,51.39409722222222,6.405230600540726,29603.0,2,46,59,46
131,578,23119999.99999999,29,59,30,48.76470588235294,10.15383405521093,28186.0,4,59,29,46
132,577,23079999.99999999,29,40,11,37.045060658578855,4.875722125404017,21375.0,2,40,29,40
133,576,23039999.99999999,15,40,25,36.55555555555556,6.305341406055141,21056.0,4,40,15,40
134,576,23039999.99999999,15,24,9,23.96875,0.5294085733155443,13806.0,2,24,15,24
135,575,22999999.99999999,4,24,20,23.37391304347826,3.4827796733798864,13440.0,2,24,4,24
136,577,23079999.99999999,4,24,20,4.173310225303293,1.8536903926684136,2408.0,2,4,24,4
137,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
138,577,23079999.99999999,0,4,4,0.37435008665511266,1.1650160338990019,216.0,2,0,4,0
139,575,22999999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
140,576,23039999.99999999,0,15,15,11.822916666666666,6.1288164838780705,6810.0,2,15,0,15
141,579,23159999.99999999,1,15,14,14.153713298791018,3.3364371170880114,8195.0,2,15,1,15
142,575,22999999.99999999,1,15,14,11.389565217391304,5.547382836320495,6549.0,3,14,1,14
143,576,23039999.99999999,1,14,13,9.07986111111111,6.305080401517396,5230.0,2,14,1,14
144,203,8119999.999999995,98,98,0,98.0,0.0,19894.0,1,98,98,98
145,576,23039999.99999999,93,98,5,94.59722222222223,1.816473401204392,54488.0,3,93,98,93
146,576,23039999.99999999,93,96,3,94.703125,1.4861831093021478,54549.0,2,96,93,96
147,577,23079999.99999999,82,96,14,88.30155979202773,4.447562492546616,50950.0,4,88,93,88
148,577,23079999.99999999,82,88,6,87.30329289428076,1.9221971395141833,50374.0,2,88,82,88
149,578,23119999.99999999,46,68,22,56.08650519031142,10.962003796417518,32418.0,2,46,68,46
150,576,23039999.99999999,46,46,0,46.0,0.0,26496.0,1,46,46,46
151,575,22999999.99999999,29,46,17,38.815652173913044,8.397562703384708,22319.0,2,46,29,46
152,576,23039999.99999999,29,29,0,29.0,0.0,16704.0,1,29,29,29
153,578,23119999.99999999,15,29,14,24.71280276816609,6.452960649270261,14284.0,2,29,15,29
154,576,23039999.99999999,15,24,9,15.46875,1.9997558444720196,8910.0,2,15,24,15
155,577,23079999.99999999,0,24,24,13.8630849220104,7.151514935536678,7999.0,4,15,4,15
156,576,23039999.99999999,0,4,4,1.4583333333333333,1.9252525086913204,840.0,2,0,4,0
157,577,23079999.99999999,0,15,15,2.712305025996534,3.3486701968396013,1565.0,3,4,15,4
158,577,23079999.99999999,0,15,15,4.731369150779896,6.970271387883456,2730.0,2,0,15,0
159,575,22999999.99999999,0,17,17,2.3808695652173912,5.492063770682897,1369.0,3,0,17,0
160,577,23079999.99999999,0,17,17,14.25476603119584,3.3484907988277337,8225.0,3,15,17,15
161,575,22999999.99999999,15,15,0,15.0,0.0,8625.0,1,15,15,15
162,577,23079999.99999999,14,15,1,14.166377816291162,0.37241943898961205,8174.0,2,14,15,14
163,578,23119999.99999999,14,14,0,14.0,0.0,8092.0,1,14,14,14
