Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
33,576,23039999.99999999,77,83,6,79.921875,1.9353636855862806,46035.0,7,79,80,79
34,576,23039999.99999999,75,89,14,80.88541666666667,2.227681553581361,46590.0,8,82,89,82
35,49,1959999.9999999988,98,99,1,98.93877551020408,0.23974163519242067,4848.0,2,99,98,99
36,406,16239999.99999999,98,100,2,99.80788177339902,0.5809258330116396,40522.0,3,100,99,100
37,575,22999999.99999999,99,100,1,99.41565217391305,0.4928340940254873,57164.0,2,99,100,99
38,576,23039999.99999999,96,98,2,96.94965277777777,0.6421804363033651,55843.0,3,97,98,97
39,576,23039999.99999999,95,97,2,95.99479166666667,0.6052208834040125,55293.0,3,96,97,96
40,576,23039999.99999999,89,96,7,93.62152777777777,2.080620340001778,53926.0,6,95,89,95
41,576,23039999.99999999,88,95,7,89.22395833333333,1.0753789504880489,51393.0,6,89,95,89
42,578,23119999.99999999,87,89,2,88.159169550173,0.49102040737442426,50956.0,3,88,87,88
43,576,23039999.99999999,84,88,4,86.77430555555556,0.7846838117440814,49982.0,5,87,85,87
44,576,23039999.99999999,82,87,5,83.72048611111111,1.0849333247950836,48223.0,5,84,87,84
45,577,23079999.99999999,81,84,3,81.72097053726169,0.6892040174304938,47153.0,4,82,83,82
46,577,23079999.99999999,80,86,6,81.64124783362219,1.2903711539740605,47107.0,6,81,86,81
47,577,23079999.99999999,83,87,4,85.1161178509532,1.1650753309721196,49112.0,5,86,83,85
48,576,23039999.99999999,83,87,4,85.38888888888889,1.051527401708291,49184.0,5,86,83,86
49,576,23039999.99999999,83,85,2,83.828125,0.5712808084933169,48285.0,3,84,85,84
50,576,23039999.99999999,80,84,4,82.14236111111111,1.5299818381777257,47314.0,5,83,81,83
51,575,22999999.99999999,77,85,8,80.38956521739131,1.6198429292100192,46224.0,7,80,85,80
52,577,23079999.99999999,80,92,12,83.94280762564992,3.3818540779557633,48435.0,6,85,89,85
53,71,2839999.9999999986,98,100,2,98.26760563380282,0.6704580414322938,6977.0,3,98,99,98
54,510,20399999.99999999,98,100,2,98.41764705882353,0.6039756787565249,50193.0,3,98,100,98
55,575,22999999.99999999,98,100,2,99.18608695652173,0.796829255239063,57032.0,3,100,98,99
56,577,23079999.99999999,98,100,2,98.47833622183708,0.5298363155457497,56822.0,3,98,100,98
57,576,23039999.99999999,95,98,3,96.38715277777777,0.8904049977358632,55519.0,4,96,98,96
58,577,23079999.99999999,91,98,7,95.22010398613519,1.735073402450268,54942.0,7,97,96,95
59,576,23039999.99999999,90,95,5,91.46354166666667,0.8987205170175728,52683.0,6,91,94,91
60,577,23079999.99999999,88,91,3,88.94800693240902,1.1996823727327741,51323.0,4,88,90,88
61,577,23079999.99999999,86,88,2,87.31369150779896,0.565044494633728,50380.0,3,87,86,87
62,576,23039999.99999999,84,87,3,85.67881944444444,0.5521133595954516,49351.0,4,86,87,86
63,576,23039999.99999999,82,85,3,83.59201388888889,1.021575634784354,48149.0,4,84,83,84
64,575,22999999.99999999,80,87,7,82.11304347826086,1.4999432881531682,47215.0,7,81,80,82
65,576,23039999.99999999,80,87,7,82.73263888888889,2.1757926352989543,47654.0,6,80,81,83
66,576,23039999.99999999,82,88,6,83.27777777777777,0.8755509729156596,47968.0,5,83,88,83
67,575,22999999.99999999,79,88,9,82.96695652173914,1.8064484367484717,47706.0,7,82,88,83
68,577,23079999.99999999,79,88,9,82.09012131715771,2.16531412361195,47366.0,7,82,87,82
69,576,23039999.99999999,80,92,12,81.45659722222223,1.853541528771415,46919.0,6,80,88,82
70,579,23159999.99999999,80,94,14,87.25043177892918,3.5455796976165064,50518.0,9,88,85,88
71,576,23039999.99999999,85,94,9,90.93576388888889,2.562626441287348,52379.0,6,92,94,92
72,322,12879999.999999993,97,100,3,99.40062111801242,1.0113023946707416,32007.0,4,100,98,100
