AREA,COUNT,MAJORITY,MAX,MEAN,MEDIAN,MIN,MINORITY,RANGE,STD,SUM,Unique,VARIETY
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,159,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,160,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,161,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,162,1
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,163,1
18999999.99999999,475,0,0,0.0,0,0,0,0,0.0,0.0,164,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,165,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,166,1
23119999.99999999,578,0,2,0.03806228373702422,0,0,2,2,0.2732687871506197,22.0,167,2
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,168,1
23039999.99999999,576,0,2,0.003472222222222222,0,0,2,2,0.08326096394640138,2.0,169,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,170,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,171,1
23119999.99999999,578,0,2,0.04152249134948097,0,0,2,2,0.28516813533614555,24.0,172,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,173,1
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,174,1
23039999.99999999,576,0,2,0.041666666666666664,0,0,2,2,0.2856522750167102,24.0,175,2
22999999.99999999,575,0,2,0.40695652173913044,0,0,2,2,0.8051704371698265,234.0,176,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,177,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,178,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,179,1
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,180,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,181,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,182,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,183,1
159999.9999999999,4,0,0,0.0,0,0,0,0,0.0,0.0,184,1
20719999.99999999,518,0,0,0.0,0,0,0,0,0.0,0.0,185,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,186,1
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,187,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,188,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,189,1
23039999.99999999,576,0,2,0.003472222222222222,0,0,2,2,0.08326096394640138,2.0,190,2
23119999.99999999,578,0,2,0.03460207612456748,0,0,2,2,0.2607812274244536,20.0,191,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,192,1
23079999.99999999,577,0,2,0.0415944540727903,0,0,2,2,0.28540989740365896,24.0,193,2
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,194,1
23079999.99999999,577,0,2,0.03119584055459272,0,0,2,2,0.24782756231153522,18.0,195,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,196,1
