HUC12,VALUE_0,VALUE_1,VALUE_25,VALUE_50,VALUE_100,VALUE_200,VALUE_300,VALUE_400,VALUE_500,VALUE_600,VALUE_700,VALUE_800,VALUE_900,VALUE_950,VALUE_975,VALUE_1000,UrbArea,PixelArea60m,PercentUrb
031200010902,130363200.0,3042000.0,230400.0,511200.0,565200.0,622800.0,504000.0,392400.0,338400.0,255600.0,237600.0,295200.0,417600.0,432000.0,244800.0,5328000.0,10640520.0,143780400.0,0.0740053581712111
031300120604,89877600.0,5130000.0,774000.0,1220400.0,1213200.0,1443600.0,1134000.0,741600.0,478800.0,428400.0,439200.0,525600.0,694800.0,658800.0,432000.0,5238000.0,14391990.0,110430000.0,0.13032681336593316
031102060101,164854800.0,12855600.0,1303200.0,2426400.0,2062800.0,3240000.0,2149200.0,1738800.0,1303200.0,1342800.0,1263600.0,1396800.0,1659600.0,1422000.0,1087200.0,15944400.0,38512260.0,216050400.0,0.1782559069550438
031101020502,163040400.0,3150000.0,529200.0,993600.0,788400.0,1137600.0,745200.0,644400.0,403200.0,288000.0,385200.0,345600.0,489600.0,439200.0,284400.0,4262400.0,10318680.0,177926400.0,0.05799409193913888
031401010701,78004800.0,993600.0,349200.0,511200.0,500400.0,432000.0,280800.0,234000.0,136800.0,79200.0,111600.0,129600.0,169200.0,136800.0,93600.0,1256400.0,3269790.0,83419200.0,0.03919709131710685
031200031003,55465200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55465200.0,0.0
030801030502,60818400.0,31086000.0,450000.0,774000.0,813600.0,1504800.0,1216800.0,975600.0,896400.0,1324800.0,1130400.0,1134000.0,1152000.0,871200.0,997200.0,16758000.0,54809820.0,121903200.0,0.4496175654125569
031401010503,65696400.0,687600.0,295200.0,576000.0,583200.0,630000.0,414000.0,471600.0,342000.0,270000.0,252000.0,255600.0,302400.0,234000.0,176400.0,1926000.0,4527270.0,73112400.0,0.061922054261657394
031300110603,114858000.0,4089600.0,295200.0,543600.0,442800.0,813600.0,471600.0,331200.0,248400.0,241200.0,259200.0,273600.0,496800.0,381600.0,309600.0,4608000.0,10993860.0,128664000.0,0.08544627867935087
031102060104,77050800.0,885600.0,529200.0,770400.0,658800.0,831600.0,525600.0,349200.0,295200.0,298800.0,342000.0,277200.0,417600.0,313200.0,313200.0,2973600.0,6207300.0,86832000.0,0.0714863184079602
030801030603,133106400.0,5198400.0,727200.0,1339200.0,1184400.0,1699200.0,1080000.0,885600.0,756000.0,1231200.0,1011600.0,990000.0,1299600.0,1000800.0,698400.0,5382000.0,17220240.0,157590000.0,0.10927241576242147
031102050406,57819600.0,1260000.0,529200.0,896400.0,842400.0,907200.0,662400.0,540000.0,496800.0,518400.0,475200.0,655200.0,770400.0,658800.0,424800.0,5425200.0,10573290.0,72882000.0,0.14507409236848604
031200010901,29966400.0,12240000.0,1029600.0,1396800.0,1245600.0,1591200.0,1328400.0,957600.0,820800.0,680400.0,781200.0,849600.0,1220400.0,1000800.0,806400.0,20246400.0,38686860.0,76161600.0,0.5079575534127434
031300130102,50400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50400000.0,0.0
