PROT_NUMBE,BLOCK_NUMB,PROT_NUM_BLOCK_NUM,Unique,Shape_Length,Shape_Area,bounds
NH17-02, 6324,NH17-02 6324,110,19207.791365319226,23058281.90539109,"-80.848,31.671,-80.797,31.714"
NH17-02, 6325,NH17-02 6325,111,19207.747940811645,23058177.672947347,"-80.797,31.671,-80.747,31.714"
NH17-02, 6328,NH17-02 6328,112,19207.551021309882,23057704.991711557,"-80.646,31.671,-80.595,31.714"
NH17-02, 6329,NH17-02 6329,113,19207.46380066775,23057495.63196303,"-80.595,31.670,-80.544,31.714"
NH17-02, 6330,NH17-02 6330,114,19207.365524372588,23057259.733547304,"-80.544,31.670,-80.493,31.714"
NH17-02, 6331,NH17-02 6331,115,19207.25614102112,23056997.177388273,"-80.494,31.670,-80.443,31.714"
NH17-02, 6332,NH17-02 6332,116,19207.136065412153,23056708.96028892,"-80.443,31.670,-80.392,31.713"
NH17-02, 6333,NH17-02 6333,117,19207.004997338063,23056394.35663235,"-80.392,31.670,-80.341,31.713"
NH17-02, 6334,NH17-02 6334,118,19206.86303950241,23056053.618494645,"-80.342,31.669,-80.291,31.713"
NH17-02, 6335,NH17-02 6335,119,19206.710057600787,23055686.423492055,"-80.291,31.669,-80.240,31.713"
NH17-02, 6336,NH17-02 6336,120,19206.546102991084,23055292.893198967,"-80.240,31.669,-80.189,31.712"
NH17-02, 6337,NH17-02 6337,121,19206.371353495735,23054873.456819158,"-80.190,31.668,-80.139,31.712"
NH17-02, 6338,NH17-02 6338,122,19206.185631274613,23054427.684877455,"-80.139,31.668,-80.088,31.712"
NH17-02, 6339,NH17-02 6339,123,19205.989165457326,23053956.1346388,"-80.089,31.668,-80.037,31.711"
NH17-02, 6369,NH17-02 6369,124,11669.289161746832,5801987.348900476,"-81.068,31.628,-81.051,31.671"
NH17-02, 6370,NH17-02 6370,125,19207.85129979337,23058474.778347462,"-81.051,31.628,-81.000,31.671"
NH17-02, 6373,NH17-02 6373,126,19207.818551248656,23058361.49144935,"-80.899,31.628,-80.848,31.671"
NH17-02, 6374,NH17-02 6374,127,19207.78558579668,23058282.35984581,"-80.848,31.628,-80.797,31.671"
NH17-02, 6375,NH17-02 6375,128,19207.742075595943,23058177.92039361,"-80.798,31.628,-80.747,31.671"
NH17-02, 6376,NH17-02 6376,129,19207.687199140946,23058046.194846656,"-80.747,31.628,-80.696,31.671"
NH17-02, 6377,NH17-02 6377,130,19207.621694931266,23057888.959727198,"-80.696,31.627,-80.646,31.671"
