HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5
030401011504,1080000.0,2160000.0,1840000.0,920000.0,11760000.0,2120000.0
030300040103,0.0,440000.0,280000.0,760000.0,360000.0,400000.0
030401020109,1560000.0,5560000.0,6520000.0,11640000.0,11040000.0,4720000.0
030501010701,29960000.0,760000.0,1280000.0,3640000.0,55040000.0,520000.0
030300030509,0.0,0.0,0.0,0.0,10600000.0,0.0
030300030504,1920000.0,4080000.0,6520000.0,14920000.0,8360000.0,1920000.0
030401020601,600000.0,1320000.0,2360000.0,5160000.0,1600000.0,440000.0
030501010902,160000.0,0.0,0.0,0.0,11280000.0,0.0
030401030403,14360000.0,480000.0,1400000.0,5400000.0,69760000.0,40000.0
030300030110,25480000.0,520000.0,840000.0,2560000.0,58040000.0,160000.0
030300030203,8280000.0,440000.0,1600000.0,5480000.0,99200000.0,40000.0
030501011001,0.0,0.0,0.0,0.0,1280000.0,0.0
030401030206,17480000.0,1800000.0,4040000.0,9680000.0,45440000.0,800000.0
030501011003,9080000.0,0.0,0.0,0.0,70760000.0,0.0
030300020703,6680000.0,1840000.0,3280000.0,9520000.0,49920000.0,600000.0
030401020206,560000.0,0.0,0.0,0.0,16280000.0,0.0
030401030401,12480000.0,200000.0,400000.0,1480000.0,62720000.0,40000.0
030300030206,2880000.0,600000.0,1320000.0,4760000.0,29480000.0,160000.0
030401030104,34240000.0,120000.0,520000.0,2000000.0,71360000.0,40000.0
030401010103,0.0,0.0,0.0,40000.0,480000.0,0.0
030401020102,0.0,0.0,0.0,0.0,200000.0,0.0
030300030202,560000.0,1160000.0,1400000.0,2360000.0,16280000.0,280000.0
030501011002,360000.0,0.0,0.0,0.0,10080000.0,0.0
030300030506,160000.0,0.0,0.0,0.0,7280000.0,0.0
030401030204,28400000.0,80000.0,800000.0,2200000.0,44520000.0,40000.0
030401020107,0.0,0.0,0.0,0.0,160000.0,0.0
030300040102,1120000.0,3160000.0,4280000.0,9880000.0,4720000.0,3840000.0
030300020704,360000.0,3040000.0,2000000.0,2720000.0,6160000.0,2720000.0
030300030503,12280000.0,1080000.0,3200000.0,7320000.0,54600000.0,120000.0
030401011503,3440000.0,840000.0,2760000.0,7240000.0,39160000.0,160000.0
030501010503,720000.0,280000.0,1120000.0,5960000.0,6160000.0,0.0
030401030404,7640000.0,0.0,0.0,560000.0,56280000.0,0.0
030300030109,920000.0,40000.0,520000.0,2280000.0,21920000.0,0.0
030401020101,3000000.0,640000.0,1120000.0,3800000.0,48280000.0,200000.0
030401011404,10960000.0,1560000.0,3840000.0,12480000.0,58200000.0,720000.0
030401020602,5520000.0,480000.0,1640000.0,4920000.0,34120000.0,160000.0
030202011003,80000.0,0.0,0.0,40000.0,0.0,0.0
030401011502,4520000.0,1840000.0,3680000.0,11000000.0,31880000.0,280000.0
030300030502,960000.0,600000.0,680000.0,2520000.0,18760000.0,280000.0
030401030402,19480000.0,1880000.0,3240000.0,7920000.0,60560000.0,920000.0
030202011104,80000.0,0.0,0.0,0.0,2920000.0,0.0
030401030205,8160000.0,1520000.0,1680000.0,7120000.0,27640000.0,720000.0
030300020609,17520000.0,5560000.0,6960000.0,11840000.0,8760000.0,2520000.0
030401020104,200000.0,0.0,40000.0,240000.0,1360000.0,0.0
030202011002,5760000.0,2960000.0,1200000.0,1120000.0,0.0,7320000.0
030300030106,23440000.0,480000.0,1360000.0,3880000.0,38960000.0,200000.0
030401010203,240000.0,0.0,40000.0,640000.0,2440000.0,0.0
030300030501,280000.0,0.0,0.0,0.0,8000000.0,0.0
030202011001,26960000.0,600000.0,1480000.0,2800000.0,520000.0,840000.0
030401011403,1520000.0,320000.0,720000.0,2400000.0,17920000.0,40000.0
030300030201,0.0,0.0,0.0,0.0,240000.0,0.0
030401011308,11240000.0,0.0,0.0,120000.0,60680000.0,0.0
030300020608,11760000.0,8560000.0,10240000.0,11560000.0,1600000.0,2840000.0
030300030108,11520000.0,240000.0,880000.0,4560000.0,46160000.0,40000.0
030300020702,4800000.0,2760000.0,3480000.0,6920000.0,50840000.0,1280000.0
030300030103,27600000.0,1440000.0,2240000.0,5440000.0,3400000.0,1000000.0
030300020610,6960000.0,12320000.0,9280000.0,16360000.0,14480000.0,11960000.0
030202011504,2160000.0,0.0,0.0,0.0,19240000.0,0.0
030202011101,75240000.0,4200000.0,5560000.0,10240000.0,3720000.0,5160000.0
030401011402,2920000.0,1280000.0,3080000.0,10480000.0,20280000.0,160000.0
030300020701,560000.0,1160000.0,2200000.0,7480000.0,20040000.0,280000.0
030401010301,4000000.0,1520000.0,4200000.0,12640000.0,32200000.0,320000.0
030401011401,200000.0,0.0,0.0,0.0,2440000.0,0.0
030401010206,1120000.0,4960000.0,4400000.0,6320000.0,7160000.0,4680000.0
030401020201,1000000.0,800000.0,1800000.0,6240000.0,36400000.0,0.0
030401030201,6800000.0,1040000.0,1560000.0,3680000.0,49400000.0,80000.0
030202011103,15880000.0,12240000.0,13600000.0,23320000.0,21080000.0,5240000.0
030300030107,9520000.0,2480000.0,4360000.0,13440000.0,81280000.0,600000.0
030300020509,80000.0,240000.0,520000.0,1360000.0,7640000.0,40000.0
030401030203,53040000.0,720000.0,2120000.0,10680000.0,54920000.0,800000.0
030401011501,28560000.0,3200000.0,4040000.0,13080000.0,54680000.0,5320000.0
030401010302,11040000.0,2680000.0,5480000.0,13080000.0,11320000.0,920000.0
030401010307,14960000.0,5560000.0,8400000.0,18720000.0,16440000.0,3000000.0
030300030105,22920000.0,11080000.0,9280000.0,15200000.0,12880000.0,3240000.0
030401011103,7680000.0,6640000.0,9800000.0,19040000.0,23800000.0,3120000.0
030401010202,0.0,400000.0,400000.0,320000.0,0.0,320000.0
030202011102,7240000.0,11160000.0,10200000.0,16360000.0,17320000.0,5200000.0
030300020607,23400000.0,8800000.0,5400000.0,6080000.0,14320000.0,8360000.0
030401010401,2880000.0,0.0,640000.0,4160000.0,37800000.0,0.0
030202010705,26480000.0,5920000.0,7880000.0,11960000.0,1920000.0,3680000.0
030300020301,5520000.0,3200000.0,4520000.0,10480000.0,54560000.0,1720000.0
030202010804,81120000.0,1840000.0,2640000.0,2720000.0,80000.0,2240000.0
