Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
156,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
157,577,23079999.99999999,3,4,1,3.611785095320624,0.48734391600199334,2084.0,2,4,3,4
158,577,23079999.99999999,3,4,1,3.2409012131715773,0.42763046975635277,1870.0,2,3,4,3
159,575,22999999.99999999,3,4,1,3.6295652173913044,0.48292116793773177,2087.0,2,4,3,4
160,577,23079999.99999999,3,4,1,3.880415944540728,0.32447451231057434,2239.0,2,4,3,4
161,575,22999999.99999999,3,4,1,3.137391304347826,0.3442599800113702,1804.0,2,3,4,3
162,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
163,578,23119999.99999999,3,3,0,3.0,0.0,1734.0,1,3,3,3
164,475,18999999.99999999,5,5,0,5.0,0.0,2375.0,1,5,5,5
165,576,23039999.99999999,5,5,0,5.0,0.0,2880.0,1,5,5,5
166,576,23039999.99999999,5,5,0,5.0,0.0,2880.0,1,5,5,5
167,578,23119999.99999999,4,5,1,4.0899653979238755,0.28613218116855227,2364.0,2,4,5,4
168,575,22999999.99999999,4,5,1,4.1634782608695655,0.3698014590190594,2394.0,2,4,5,4
169,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
170,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
171,575,22999999.99999999,3,4,1,3.812173913043478,0.39057323002879313,2192.0,2,4,3,4
172,578,23119999.99999999,3,4,1,3.387543252595156,0.48718936766222815,1958.0,2,3,4,3
173,576,23039999.99999999,3,4,1,3.1840277777777777,0.3875068448220635,1834.0,2,3,4,3
174,578,23119999.99999999,3,3,0,3.0,0.0,1734.0,1,3,3,3
175,576,23039999.99999999,3,4,1,3.111111111111111,0.3142696805273539,1792.0,2,3,4,3
176,575,22999999.99999999,3,4,1,3.747826086956522,0.43426055614552134,2155.0,2,4,3,4
177,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
178,577,23079999.99999999,3,4,1,3.996533795493934,0.058772356872827065,2306.0,2,4,3,4
179,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
180,578,23119999.99999999,4,4,0,4.0,0.0,2312.0,1,4,4,4
181,575,22999999.99999999,3,4,1,3.2382608695652175,0.42601951551454037,1862.0,2,3,4,3
182,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
183,577,23079999.99999999,2,3,1,2.975736568457539,0.15386590730972413,1717.0,2,3,2,3
184,4,159999.9999999999,5,5,0,5.0,0.0,20.0,1,5,5,5
185,518,20719999.99999999,5,5,0,5.0,0.0,2590.0,1,5,5,5
186,575,22999999.99999999,4,4,0,4.0,0.0,2300.0,1,4,4,4
187,578,23119999.99999999,4,4,0,4.0,0.0,2312.0,1,4,4,4
