HUC12,VALUE_1,VALUE_2,VALUE_3
031102060506,120000.0,0.0,0.0
031102060704,400000.0,80000.0,0.0
030801030601,200000.0,0.0,0.0
031101020602,200000.0,40000.0,200000.0
031101020604,280000.0,120000.0,0.0
031101020603,320000.0,120000.0,880000.0
031102060503,400000.0,0.0,0.0
031200010902,280000.0,80000.0,240000.0
031300120604,40000.0,40000.0,0.0
031102060101,960000.0,320000.0,1720000.0
031101020502,1000000.0,1000000.0,760000.0
031401010701,40000.0,0.0,0.0
031200031003,320000.0,40000.0,40000.0
030801030502,1720000.0,480000.0,360000.0
031300110603,200000.0,40000.0,200000.0
031102060104,40000.0,40000.0,0.0
030801030603,920000.0,480000.0,160000.0
031102050406,120000.0,0.0,0.0
031200010901,120000.0,40000.0,120000.0
031300130102,40000.0,40000.0,40000.0
031101020402,80000.0,0.0,0.0
031300130103,160000.0,0.0,0.0
031200011102,120000.0,160000.0,2800000.0
031102050407,240000.0,0.0,160000.0
031200030902,80000.0,40000.0,80000.0
031102060405,480000.0,80000.0,0.0
031101020405,80000.0,0.0,0.0
031101020601,480000.0,280000.0,360000.0
031101020203,920000.0,160000.0,320000.0
031200010803,280000.0,0.0,0.0
031102060103,280000.0,160000.0,0.0
030801030901,80000.0,40000.0,0.0
031102060102,1200000.0,400000.0,480000.0
031200030901,240000.0,0.0,0.0
031102060606,480000.0,200000.0,0.0
031102060208,520000.0,40000.0,0.0
031200010703,80000.0,0.0,0.0
031102050203,560000.0,320000.0,280000.0
030801030902,200000.0,200000.0,0.0
031102050405,1160000.0,1120000.0,200000.0
031101020404,200000.0,0.0,0.0
031200031002,120000.0,40000.0,0.0
031102060605,560000.0,0.0,0.0
031200030705,40000.0,0.0,0.0
031300110601,120000.0,0.0,40000.0
030801030804,1000000.0,680000.0,240000.0
031200011003,160000.0,240000.0,1080000.0
031300130101,160000.0,0.0,0.0
031102060404,320000.0,0.0,0.0
030801030903,320000.0,200000.0,0.0
031101020303,720000.0,200000.0,120000.0
031102050305,920000.0,320000.0,640000.0
031300110602,280000.0,0.0,40000.0
031200010802,40000.0,0.0,0.0
031401010302,80000.0,0.0,0.0
031101020202,720000.0,360000.0,640000.0
030801021102,160000.0,120000.0,240000.0
030801030504,120000.0,0.0,0.0
030801030503,440000.0,240000.0,0.0
031102060604,80000.0,0.0,160000.0
031300120603,120000.0,0.0,0.0
031102060204,1280000.0,160000.0,160000.0
031200011001,200000.0,80000.0,0.0
031102060403,40000.0,40000.0,0.0
031200010702,280000.0,0.0,0.0
031200011002,280000.0,80000.0,0.0
031102050403,360000.0,0.0,0.0
031102060206,320000.0,120000.0,0.0
031200011101,0.0,40000.0,160000.0
031300120601,80000.0,0.0,0.0
031101020401,440000.0,120000.0,0.0
031101030505,320000.0,80000.0,0.0
031101020104,160000.0,80000.0,0.0
031101020302,160000.0,120000.0,120000.0
031102060207,280000.0,40000.0,0.0
031300110502,440000.0,0.0,0.0
031200030704,280000.0,0.0,0.0
031102060202,120000.0,0.0,0.0
031102050202,800000.0,160000.0,0.0
031101030504,40000.0,0.0,0.0
031102060603,200000.0,0.0,0.0
030801031102,240000.0,0.0,0.0
031200031001,160000.0,120000.0,0.0
031200010704,760000.0,80000.0,0.0
031200010801,160000.0,160000.0,0.0
031200030702,160000.0,0.0,0.0
031300110503,560000.0,40000.0,0.0
030801030904,240000.0,0.0,0.0
031200030805,160000.0,80000.0,0.0
031200030701,120000.0,120000.0,40000.0
030801031001,320000.0,120000.0,440000.0
031102050402,160000.0,0.0,0.0
031102060602,120000.0,160000.0,0.0
031102050404,280000.0,0.0,0.0
031102050201,920000.0,40000.0,0.0
031401010301,40000.0,0.0,0.0
031200011103,80000.0,200000.0,0.0
030801031204,920000.0,40000.0,720000.0
031200010504,160000.0,160000.0,0.0
031101020201,520000.0,800000.0,3720000.0
031102060601,320000.0,80000.0,0.0
031102060402,320000.0,280000.0,160000.0
031101020301,280000.0,240000.0,1320000.0
031300120504,720000.0,160000.0,0.0
031200030703,200000.0,0.0,0.0
031401010201,40000.0,120000.0,0.0
031101020103,920000.0,560000.0,400000.0
031300110501,120000.0,0.0,0.0
030801031103,720000.0,0.0,0.0
031102050401,240000.0,0.0,0.0
031102050304,200000.0,0.0,0.0
031102060205,80000.0,40000.0,0.0
031300120505,80000.0,0.0,0.0
031101030503,1800000.0,400000.0,80000.0
031200030804,440000.0,40000.0,0.0
031102050104,880000.0,160000.0,600000.0
031300120503,240000.0,200000.0,0.0
031200010701,280000.0,0.0,0.0
031200010503,400000.0,160000.0,0.0
031200010604,480000.0,40000.0,0.0
031102060401,40000.0,0.0,0.0
031102010801,1240000.0,760000.0,640000.0
031200030803,640000.0,0.0,0.0
031200010602,640000.0,480000.0,0.0
