UNIQUE,VALUE_0,VALUE_1,VALUE_2,VALUE_3
259,22560000.0,0.0,480000.0,0.0
260,23000000.0,0.0,40000.0,0.0
261,21680000.0,0.0,1360000.0,0.0
262,23160000.0,0.0,0.0,0.0
263,23000000.0,0.0,0.0,0.0
264,23040000.0,0.0,0.0,0.0
265,23080000.0,0.0,0.0,0.0
266,23040000.0,0.0,0.0,0.0
267,23120000.0,0.0,0.0,0.0
268,15000000.0,0.0,0.0,0.0
269,23080000.0,0.0,0.0,0.0
270,23080000.0,0.0,0.0,0.0
271,23040000.0,0.0,0.0,0.0
272,23040000.0,0.0,40000.0,0.0
273,23080000.0,0.0,0.0,0.0
274,23040000.0,0.0,0.0,0.0
275,23080000.0,0.0,0.0,0.0
276,23040000.0,0.0,0.0,0.0
277,23080000.0,0.0,0.0,0.0
278,22880000.0,0.0,160000.0,0.0
279,23080000.0,0.0,0.0,0.0
280,23040000.0,0.0,0.0,0.0
281,23040000.0,0.0,0.0,0.0
282,22280000.0,0.0,760000.0,0.0
283,22920000.0,0.0,160000.0,0.0
284,23080000.0,0.0,0.0,0.0
285,23040000.0,0.0,0.0,0.0
286,23040000.0,0.0,0.0,0.0
287,23000000.0,0.0,0.0,0.0
288,23120000.0,0.0,0.0,0.0
289,40000.0,0.0,0.0,0.0
290,23080000.0,0.0,0.0,0.0
291,23000000.0,0.0,0.0,0.0
292,23120000.0,0.0,0.0,0.0
293,23080000.0,0.0,0.0,0.0
294,23040000.0,0.0,0.0,0.0
295,23040000.0,0.0,0.0,0.0
296,23080000.0,0.0,0.0,0.0
297,23080000.0,0.0,0.0,0.0
298,23040000.0,0.0,0.0,0.0
299,22760000.0,0.0,280000.0,0.0
300,23080000.0,0.0,0.0,0.0
301,23080000.0,0.0,0.0,0.0
302,23040000.0,0.0,0.0,0.0
303,23080000.0,0.0,0.0,0.0
304,23000000.0,0.0,0.0,0.0
305,23080000.0,0.0,0.0,0.0
306,22880000.0,0.0,160000.0,0.0
307,22840000.0,0.0,200000.0,0.0
308,23080000.0,0.0,0.0,0.0
309,23040000.0,0.0,0.0,0.0
310,23080000.0,0.0,0.0,0.0
311,23040000.0,0.0,0.0,0.0
312,23040000.0,0.0,0.0,0.0
313,23080000.0,0.0,0.0,0.0
314,22480000.0,0.0,560000.0,0.0
315,23080000.0,0.0,0.0,0.0
316,22960000.0,0.0,80000.0,0.0
317,20880000.0,0.0,2160000.0,0.0
318,23080000.0,0.0,0.0,0.0
