HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
030702030503,590,2003,80119999.99999997,3.191038131713867,4.260448932647705,1.069410800933838,3.552412610142099,0.3166236124527157,7115.482458114624
030702011202,609,745,29799999.99999999,2.6343700885772705,3.078643321990967,0.4442732334136963,2.864904934287871,0.14326356374889018,2134.354176044464
030702030502,633,557,22279999.999999993,2.1654558181762695,3.207338809967041,1.0418829917907715,2.9754926285153016,0.21444445663045641,1657.349394083023
030702030302,643,1242,49679999.999999985,2.607990264892578,3.6753454208374023,1.0673551559448242,3.14704033718017,0.2780695001739342,3908.624098777771
030702030301,653,187,7479999.999999997,3.134138584136963,3.1753580570220947,0.041219472885131836,3.1532964451427765,0.009237057934575271,589.6664352416992
030702030102,700,397,15879999.999999994,3.1732630729675293,3.204010486602783,0.030747413635253906,3.188847064971924,0.0064735267807121254,1265.9722847938538
030702030201,706,5141,205639999.9999999,2.1733601093292236,3.866665840148926,1.6933057308197021,3.2622013984313623,0.34263522093409593,16770.977389335632
030702030101,743,288,11519999.999999996,3.172969102859497,3.1960501670837402,0.023081064224243164,3.1859327455361686,0.004716480585643887,917.5486307144165
030701060502,752,4121,164839999.99999994,2.2059166431427,3.5258259773254395,1.3199093341827393,3.0240652551931015,0.20058954741509172,12462.172916650772
030602040501,848,2574,102959999.99999996,2.480426788330078,3.511636734008789,1.031209945678711,3.03475672428054,0.26829229325713183,7811.463808298111
030602040502,871,2223,88919999.99999997,2.4006218910217285,3.5622920989990234,1.161670207977295,3.0575060768273303,0.19268313877812537,6796.836008787155
030602040401,899,2756,110239999.99999996,2.658557891845703,3.8308615684509277,1.1723036766052246,3.261408804636043,0.29165217418046613,8988.442665576935
030602040301,982,2500,99999999.99999997,2.356025218963623,4.165053844451904,1.8090286254882812,3.279459775352478,0.44007804999145034,8198.649438381195
030602040201,1000,4612,184479999.99999994,2.0637764930725098,4.197888374328613,2.1341118812561035,3.0790054772278586,0.6809823554358375,14200.373260974884
030602040602,1045,2786,111439999.99999996,2.621732711791992,4.098475456237793,1.4767427444458008,3.3577966526610683,0.30088162620224007,9354.821474313736
030602040601,1078,3882,155279999.99999994,2.90234637260437,4.186817169189453,1.284470796585083,3.5626217411818546,0.33400219277734206,13830.09759926796
030601100306,1105,577,23079999.999999993,3.5009589195251465,3.605898380279541,0.10493946075439453,3.5387676741469463,0.0239931303442949,2041.868947982788
030601100303,1143,796,31839999.99999999,3.467289447784424,3.5737037658691406,0.1064143180847168,3.4887018530213054,0.02359418544257533,2777.006675004959
