GAP_S_1,GAP_S_2,GAP_S_3,GAP_S_39,GAP_S_4,GAP_S_9,HUC12
5400000.0,0.0,3240000.0,0.0,0.0,0.0,031300130403
0.0,0.0,107320000.0,0.0,0.0,0.0,031300130304
0.0,0.0,19240000.0,0.0,0.0,0.0,031101020605
0.0,67560000.0,66880000.0,0.0,0.0,0.0,031300110803
0.0,0.0,80000.0,400000.0,0.0,0.0,031102050602
0.0,0.0,50560000.0,0.0,0.0,0.0,031101020505
0.0,0.0,61160000.0,0.0,0.0,0.0,031200031203
0.0,0.0,67680000.0,0.0,0.0,0.0,031300130501
0.0,0.0,73880000.0,0.0,0.0,0.0,031300130401
0.0,1880000.0,95280000.0,0.0,0.0,0.0,031300110802
0.0,11680000.0,26160000.0,0.0,0.0,0.0,031200031204
0.0,0.0,3640000.0,0.0,0.0,0.0,031101020503
0.0,2800000.0,40000.0,0.0,0.0,0.0,031102060701
0.0,0.0,84120000.0,0.0,0.0,0.0,031300130303
0.0,0.0,39320000.0,0.0,0.0,0.0,031102050601
0.0,0.0,51880000.0,0.0,0.0,0.0,031300130302
0.0,0.0,71720000.0,0.0,0.0,0.0,031300130203
0.0,12200000.0,32120000.0,0.0,0.0,0.0,031300120606
0.0,0.0,10720000.0,0.0,0.0,0.0,030801021101
0.0,0.0,101600000.0,0.0,0.0,0.0,031200031202
0.0,0.0,4120000.0,0.0,0.0,0.0,031102050504
0.0,0.0,41680000.0,0.0,0.0,0.0,031102050503
0.0,0.0,1280000.0,0.0,0.0,0.0,031101020703
0.0,0.0,600000.0,0.0,0.0,0.0,031101020504
0.0,200000.0,70400000.0,0.0,0.0,0.0,031300110605
0.0,0.0,44880000.0,21720000.0,0.0,0.0,031101020801
0.0,0.0,19120000.0,0.0,0.0,0.0,031102050501
0.0,0.0,0.0,0.0,0.0,6000000.0,031102060302
360000.0,0.0,114360000.0,0.0,0.0,0.0,031300110801
0.0,0.0,1120000.0,0.0,0.0,0.0,031102060505
0.0,0.0,18200000.0,0.0,0.0,0.0,031102060504
0.0,0.0,55920000.0,0.0,0.0,0.0,031200031201
0.0,0.0,48720000.0,0.0,0.0,0.0,031101020501
0.0,0.0,81400000.0,0.0,0.0,0.0,031200030903
0.0,0.0,92200000.0,0.0,0.0,0.0,031300130202
0.0,0.0,61840000.0,0.0,0.0,0.0,031300130301
40000.0,29600000.0,5360000.0,0.0,0.0,0.0,031200010903
0.0,0.0,15080000.0,0.0,0.0,0.0,031101020403
2000000.0,0.0,127480000.0,0.0,0.0,0.0,031300110604
0.0,0.0,3800000.0,0.0,0.0,0.0,031102050502
0.0,14320000.0,46760000.0,0.0,0.0,0.0,031200031101
40000.0,0.0,45520000.0,0.0,0.0,0.0,031300130201
360000.0,34040000.0,43520000.0,0.0,0.0,0.0,031200031102
0.0,0.0,400000.0,3120000.0,0.0,0.0,031300120605
0.0,0.0,1840000.0,0.0,0.0,0.0,031102060506
440000.0,0.0,8040000.0,3840000.0,0.0,0.0,031102060704
0.0,8000000.0,17680000.0,0.0,0.0,0.0,030801030601
0.0,0.0,22240000.0,0.0,0.0,0.0,031101020602
0.0,0.0,47160000.0,0.0,0.0,0.0,031101020604
0.0,0.0,9160000.0,0.0,0.0,0.0,031101020603
0.0,0.0,11080000.0,1800000.0,0.0,0.0,031102060503
240000.0,47640000.0,0.0,0.0,0.0,0.0,031200010902
0.0,0.0,40000.0,0.0,0.0,0.0,031300120604
760000.0,0.0,37120000.0,0.0,0.0,0.0,031102060101
0.0,0.0,6480000.0,0.0,0.0,0.0,031101020502
0.0,0.0,55240000.0,0.0,0.0,0.0,031200031003
640000.0,0.0,43320000.0,0.0,0.0,0.0,030801030502
0.0,1560000.0,0.0,0.0,0.0,0.0,031401010503
0.0,0.0,50120000.0,0.0,0.0,0.0,031300110603
1000000.0,0.0,40000.0,0.0,0.0,2920000.0,031102060104
0.0,80000.0,0.0,0.0,0.0,0.0,030801030603
0.0,0.0,560000.0,8120000.0,0.0,0.0,031102050406
0.0,4480000.0,840000.0,2960000.0,0.0,0.0,031200010901
0.0,0.0,50320000.0,0.0,0.0,0.0,031300130102
0.0,0.0,72200000.0,0.0,0.0,0.0,031300130103
18040000.0,56480000.0,400000.0,0.0,0.0,0.0,031200011102
0.0,0.0,4080000.0,0.0,0.0,0.0,031102050407
0.0,0.0,106480000.0,0.0,0.0,0.0,031200030902
0.0,0.0,6080000.0,0.0,0.0,120000.0,031102060405
