HUC12,STP,PLO,FED,TNC,UNK,PNP,LOC,PFP,TRB
031102060606,11600000.0,12240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060208,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0
031200010703,0.0,0.0,15840000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050203,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030801030902,720000.0,18520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050405,16000000.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020404,38560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200031002,0.0,0.0,112600000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060605,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200030705,0.0,0.0,38200000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110601,0.0,0.0,18480000.0,0.0,0.0,0.0,0.0,0.0,0.0
030801030804,28480000.0,8280000.0,0.0,0.0,0.0,0.0,240000.0,0.0,0.0
031300120602,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0
031200011003,0.0,0.0,30200000.0,440000.0,0.0,0.0,0.0,0.0,0.0
031300130101,0.0,0.0,51840000.0,0.0,0.0,0.0,0.0,0.0,0.0
030801030903,101520000.0,6200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050305,3960000.0,3160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110602,0.0,0.0,88040000.0,0.0,0.0,0.0,0.0,0.0,0.0
031200010802,0.0,0.0,67280000.0,0.0,0.0,0.0,0.0,0.0,0.0
031401010302,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030801021102,11240000.0,18560000.0,0.0,0.0,0.0,0.0,1360000.0,0.0,0.0
030801030504,17920000.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0
030801030503,10080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060604,960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300120603,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0
031102060204,8200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200011001,10280000.0,0.0,4640000.0,0.0,0.0,0.0,0.0,0.0,0.0
031200010702,0.0,0.0,29760000.0,0.0,0.0,0.0,0.0,0.0,0.0
031200011002,480000.0,600000.0,30880000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060206,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200011101,2720000.0,5880000.0,0.0,4560000.0,0.0,0.0,0.0,0.0,0.0
031101030505,28800000.0,480000.0,6440000.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020104,71680000.0,0.0,2120000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060207,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110502,0.0,7960000.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0
031200030704,0.0,0.0,8040000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060202,15520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050202,2960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101030504,58280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060603,560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030801031102,0.0,0.0,0.0,0.0,0.0,0.0,440000.0,0.0,0.0
031200031001,0.0,0.0,95760000.0,0.0,0.0,0.0,0.0,0.0,0.0
031200010704,20040000.0,0.0,22920000.0,0.0,0.0,0.0,0.0,0.0,0.0
031200010801,0.0,0.0,86760000.0,0.0,0.0,0.0,0.0,0.0,0.0
031200010605,11520000.0,0.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110503,0.0,680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030801030904,33440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200030805,2360000.0,0.0,61440000.0,0.0,0.0,0.0,0.0,0.0,0.0
030801031001,89280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050404,0.0,5320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050201,1360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200011103,70360000.0,0.0,14840000.0,9680000.0,0.0,0.0,0.0,0.0,0.0
030801031204,14440000.0,0.0,0.0,0.0,0.0,0.0,880000.0,0.0,0.0
031200010504,120000.0,0.0,0.0,2720000.0,0.0,0.0,0.0,0.0,0.0
031102060601,1000000.0,0.0,0.0,0.0,0.0,0.0,3960000.0,0.0,0.0
031102060402,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031401010201,26040000.0,1920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020103,17280000.0,640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030801031103,3520000.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0
031102050304,4240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060205,3480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300120505,0.0,0.0,3760000.0,0.0,0.0,160000.0,0.0,0.0,0.0
031101030503,14640000.0,3600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200030804,5320000.0,440000.0,31200000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050104,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200010701,1400000.0,280000.0,84760000.0,0.0,0.0,0.0,0.0,0.0,0.0
