HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area,bounds
030202011203,Holts Lake-Black Creek,Neuse-Pamlico,Neuse,Upper Neuse,58249.28149090191,97319489.0546875,"-78.579,35.443,-78.367,35.519"
030300040106,Avents Creek-Cape Fear River,Cape Fear,Cape Fear,Upper Cape Fear,57169.96492535895,94633083.75,"-79.008,35.410,-78.848,35.571"
030300030607,Georges Creek-Deep River,Cape Fear,Cape Fear,Deep,90048.19748006172,100407403.265625,"-79.283,35.455,-79.141,35.633"
030202020506,Swift Creek,Neuse-Pamlico,Neuse,Middle Neuse,59259.40096236121,68547441.8203125,"-77.214,35.180,-77.038,35.306"
030300040502,Hector Creek-Cape Fear River,Cape Fear,Cape Fear,Upper Cape Fear,65773.0494744751,111028276.703125,"-78.937,35.394,-78.802,35.576"
030501011005,Lookout Shoals Lake,Edisto-Santee,Santee,Upper Catawba,51602.76396083464,109618722.09375,"-81.202,35.756,-81.059,35.884"
030300030205,Lower Richland Creek,Cape Fear,Cape Fear,Deep,75714.74457358953,97807568.7421875,"-79.790,35.578,-79.607,35.707"
030300030204,Upper Richland Creek,Cape Fear,Cape Fear,Deep,47310.534060442966,73336149.875,"-79.827,35.590,-79.715,35.713"
030401020401,Upper Fourth Creek,Pee Dee,Upper Pee Dee,South Yadkin,41117.06289445083,68764516.546875,"-81.028,35.787,-80.872,35.868"
030501010702,Middle Lower Creek,Edisto-Santee,Santee,Upper Catawba,47705.24228357567,62079715.796875,"-81.635,35.822,-81.535,35.949"
030202011704,Charles Branch-Beaverdam Creek,Neuse-Pamlico,Neuse,Upper Neuse,40506.56470780059,40706675.296875,"-78.173,35.381,-78.062,35.480"
030202011202,Camp Branch-Black Creek,Neuse-Pamlico,Neuse,Upper Neuse,51274.33330352368,86545296.890625,"-78.690,35.430,-78.547,35.552"
030202040803,Lower Bay River,Neuse-Pamlico,Neuse,Lower Neuse,67753.53874387532,162887622.40625,"-76.748,35.115,-76.500,35.242"
030501010401,Upper Warrior Fork,Edisto-Santee,Santee,Upper Catawba,50359.57680647346,96232420.34375,"-81.901,35.859,-81.762,35.990"
030202020201,West Bear Creek,Neuse-Pamlico,Neuse,Middle Neuse,37919.302396485466,61110681.4765625,"-77.929,35.337,-77.812,35.437"
030202040904,Neuse River-Pamlico Sound,Neuse-Pamlico,Neuse,Lower Neuse,94719.98462133811,330501482.2109375,"-76.518,35.002,-76.176,35.214"
030501010903,Lower Middle Little River,Edisto-Santee,Santee,Upper Catawba,39418.84030852212,60544601.84375,"-81.335,35.814,-81.225,35.922"
030300030508,Harts Creek-Bear Creek,Cape Fear,Cape Fear,Deep,51339.66153446774,68111283.4453125,"-79.407,35.597,-79.207,35.664"
