HUC12,VALUE_0,VALUE_5,VALUE_10,VALUE_15,VALUE_20,VALUE_25,VALUE_30,VALUE_35,VALUE_40,VALUE_45,VALUE_50,VALUE_55,VALUE_60,VALUE_65,VALUE_70,VALUE_75,VALUE_80,VALUE_85,VALUE_90,VALUE_95,VALUE_100,MigrationSpace_0_5,MigrationSpace_1,MigrationSpace_1_5,MigrationSpace_2,MigrationSpace_2_5,MigrationSpace_3,MigrationSpace_3_5,MigrationSpace_4,MigrationSpace_4_5,MigrationSpace_5,MigrationSpace_5_5,MigrationSpace_6,MigrationSpace_6_5,MigrationSpace_7,MigrationSpace_7_5,MigrationSpace_8,MigrationSpace_8_5,MigrationSpace_9,MigrationSpace_9_5,MigrationSpace_10,PixelArea30m
031101020905,285354900.0,0.0,17684100.0,0.0,13474800.0,0.0,13147200.0,0.0,10007100.0,0.0,7390800.0,0.0,6727500.0,0.0,5781600.0,0.0,4957200.0,0.0,4393800.0,0.0,4969800.0,0.0,17684100.0,17684100.0,31158900.0,31158900.0,44306100.0,44306100.0,54313200.0,54313200.0,61704000.0,61704000.0,68431500.0,68431500.0,74213100.0,74213100.0,79170300.0,79170300.0,83564100.0,83564100.0,88533900.0,373888800.0
031102050703,64682100.0,0.0,87300.0,0.0,18900.0,0.0,14400.0,0.0,19800.0,0.0,17100.0,0.0,24300.0,0.0,24300.0,0.0,30600.0,0.0,33300.0,0.0,32400.0,0.0,87300.0,87300.0,106200.0,106200.0,120600.0,120600.0,140400.0,140400.0,157500.0,157500.0,181800.0,181800.0,206100.0,206100.0,236700.0,236700.0,270000.0,270000.0,302400.0,64984500.0
031300110706,155110500.0,0.0,55038600.0,0.0,8353800.0,0.0,6056100.0,0.0,4642200.0,0.0,3454200.0,0.0,2541600.0,0.0,3055500.0,0.0,8740800.0,0.0,6111000.0,0.0,4208400.0,0.0,55038600.0,55038600.0,63392400.0,63392400.0,69448500.0,69448500.0,74090700.0,74090700.0,77544900.0,77544900.0,80086500.0,80086500.0,83142000.0,83142000.0,91882800.0,91882800.0,97993800.0,97993800.0,102202200.0,257312700.0
031101020904,87398100.0,0.0,2133900.0,0.0,1488600.0,0.0,1951200.0,0.0,2001600.0,0.0,1886400.0,0.0,2201400.0,0.0,2367900.0,0.0,2162700.0,0.0,2390400.0,0.0,3451500.0,0.0,2133900.0,2133900.0,3622500.0,3622500.0,5573700.0,5573700.0,7575300.0,7575300.0,9461700.0,9461700.0,11663100.0,11663100.0,14031000.0,14031000.0,16193700.0,16193700.0,18584100.0,18584100.0,22035600.0,109433700.0
031102050702,78355800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78355800.0
031101020804,46395900.0,0.0,598500.0,0.0,370800.0,0.0,488700.0,0.0,479700.0,0.0,317700.0,0.0,133200.0,0.0,130500.0,0.0,114300.0,0.0,182700.0,0.0,421200.0,0.0,598500.0,598500.0,969300.0,969300.0,1458000.0,1458000.0,1937700.0,1937700.0,2255400.0,2255400.0,2388600.0,2388600.0,2519100.0,2519100.0,2633400.0,2633400.0,2816100.0,2816100.0,3237300.0,49633200.0
031101010201,154561500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154561500.0
031300110703,36006300.0,0.0,14043600.0,0.0,4230000.0,0.0,4026600.0,0.0,4524300.0,0.0,3144600.0,0.0,2223000.0,0.0,2423700.0,0.0,3046500.0,0.0,4149000.0,0.0,7225200.0,0.0,14043600.0,14043600.0,18273600.0,18273600.0,22300200.0,22300200.0,26824500.0,26824500.0,29969100.0,29969100.0,32192100.0,32192100.0,34615800.0,34615800.0,37662300.0,37662300.0,41811300.0,41811300.0,49036500.0,85042800.0
031300110705,26421300.0,0.0,55988100.0,0.0,7994700.0,0.0,3309300.0,0.0,3915000.0,0.0,3447900.0,0.0,2710800.0,0.0,2501100.0,0.0,2487600.0,0.0,3744900.0,0.0,3281400.0,0.0,55988100.0,55988100.0,63982800.0,63982800.0,67292100.0,67292100.0,71207100.0,71207100.0,74655000.0,74655000.0,77365800.0,77365800.0,79866900.0,79866900.0,82354500.0,82354500.0,86099400.0,86099400.0,89380800.0,115802100.0
031300110804,388220400.0,0.0,58743900.0,0.0,4539600.0,0.0,3889800.0,0.0,4000500.0,0.0,3919500.0,0.0,3117600.0,0.0,3543300.0,0.0,4239900.0,0.0,4970700.0,0.0,5960700.0,0.0,58743900.0,58743900.0,63283500.0,63283500.0,67173300.0,67173300.0,71173800.0,71173800.0,75093300.0,75093300.0,78210900.0,78210900.0,81754200.0,81754200.0,85994100.0,85994100.0,90964800.0,90964800.0,96925500.0,485145900.0
031300130504,86694300.0,0.0,10393200.0,0.0,5625900.0,0.0,4540500.0,0.0,6624900.0,0.0,7964100.0,0.0,8559900.0,0.0,9249300.0,0.0,8890200.0,0.0,6782400.0,0.0,5640300.0,0.0,10393200.0,10393200.0,16019100.0,16019100.0,20559600.0,20559600.0,27184500.0,27184500.0,35148600.0,35148600.0,43708500.0,43708500.0,52957800.0,52957800.0,61848000.0,61848000.0,68630400.0,68630400.0,74270700.0,160965000.0
031101020902,139121100.0,0.0,595800.0,0.0,536400.0,0.0,729000.0,0.0,1023300.0,0.0,1179900.0,0.0,943200.0,0.0,1549800.0,0.0,4091400.0,0.0,5995800.0,0.0,7294500.0,0.0,595800.0,595800.0,1132200.0,1132200.0,1861200.0,1861200.0,2884500.0,2884500.0,4064400.0,4064400.0,5007600.0,5007600.0,6557400.0,6557400.0,10648800.0,10648800.0,16644600.0,16644600.0,23939100.0,163060200.0
031102050701,166860900.0,0.0,1629900.0,0.0,679500.0,0.0,657000.0,0.0,633600.0,0.0,519300.0,0.0,442800.0,0.0,437400.0,0.0,457200.0,0.0,447300.0,0.0,520200.0,0.0,1629900.0,1629900.0,2309400.0,2309400.0,2966400.0,2966400.0,3600000.0,3600000.0,4119300.0,4119300.0,4562100.0,4562100.0,4999500.0,4999500.0,5456700.0,5456700.0,5904000.0,5904000.0,6424200.0,173285100.0
