HUC12,VALUE_0,VALUE_1
031300130101,12320000.0,19160000.0
031102060404,9400000.0,8760000.0
030801030903,8600000.0,8440000.0
031101020303,8120000.0,6200000.0
031102050305,7640000.0,8040000.0
031300110602,17520000.0,26080000.0
031200010802,4840000.0,11640000.0
031401010302,1840000.0,3000000.0
031101020202,7800000.0,18360000.0
030801021102,1920000.0,2120000.0
030801030504,600000.0,800000.0
030801030503,200000.0,80000.0
031102060604,240000.0,320000.0
031300120603,2720000.0,9000000.0
031102060204,11160000.0,8800000.0
031200011001,6920000.0,9760000.0
031102060403,2680000.0,4040000.0
031200010702,3360000.0,7000000.0
031200011002,8480000.0,13360000.0
031102050403,1040000.0,640000.0
031102060206,6760000.0,9720000.0
031200011101,2000000.0,4200000.0
031300120601,440000.0,4320000.0
031101020401,2640000.0,7240000.0
031101030505,4760000.0,29120000.0
031101020104,6760000.0,51640000.0
031101020302,4920000.0,6960000.0
031102060207,4480000.0,14240000.0
031300110502,4400000.0,28960000.0
031200030704,4120000.0,9200000.0
031102060202,4640000.0,4440000.0
031102050202,9800000.0,14040000.0
031101030504,2080000.0,51960000.0
031102060603,7360000.0,4520000.0
030801031102,5440000.0,4680000.0
031200031001,8440000.0,16760000.0
031200010704,4400000.0,3040000.0
031200010801,8000000.0,10360000.0
031200010605,1800000.0,1440000.0
031200030702,2360000.0,12560000.0
031300110503,8360000.0,48320000.0
030801030904,13000000.0,10200000.0
031200030805,12240000.0,24400000.0
031200030701,3120000.0,10400000.0
030801031001,3840000.0,4320000.0
031102050402,1840000.0,1320000.0
031102060602,3000000.0,1560000.0
031102050404,1600000.0,800000.0
031102050201,4560000.0,8240000.0
031401010301,3520000.0,1680000.0
031200011103,2680000.0,20760000.0
030801031204,17120000.0,14120000.0
031102050302,680000.0,120000.0
031200010504,1920000.0,6640000.0
031101020201,12520000.0,31000000.0
031102060601,5000000.0,3840000.0
031102060402,1360000.0,12840000.0
031101020301,6640000.0,21080000.0
031300120504,2400000.0,4240000.0
031200030703,2640000.0,8440000.0
031401010201,1840000.0,3320000.0
031101020103,17200000.0,30320000.0
031300110501,3840000.0,8480000.0
030801031103,10760000.0,15920000.0
031102050401,7360000.0,6360000.0
031102050304,400000.0,920000.0
031102060205,2160000.0,13160000.0
031300120505,3960000.0,5560000.0
031101030503,9560000.0,18520000.0
031200030804,7680000.0,13680000.0
031102050104,2880000.0,4280000.0
031300120503,5360000.0,7040000.0
031200010701,7480000.0,9520000.0
031200010503,3360000.0,14000000.0
031200010604,1800000.0,1480000.0
031102060401,2520000.0,6680000.0
031102010801,7400000.0,4840000.0
031200030803,10680000.0,9280000.0
031200010602,3320000.0,3080000.0
031200030605,1920000.0,7080000.0
031101030502,6920000.0,18800000.0
031200010603,5960000.0,2920000.0
031200030604,400000.0,5600000.0
031200030801,2560000.0,6280000.0
030801031004,14080000.0,11520000.0
031101020102,10000000.0,14040000.0
030702040401,1960000.0,16760000.0
031300110404,4160000.0,14200000.0
031101030501,4200000.0,15360000.0
030702040402,1800000.0,6240000.0
030801031303,9080000.0,5600000.0
031102060201,2120000.0,12840000.0
031102050303,880000.0,360000.0
031401010102,8920000.0,8880000.0
031102050103,5000000.0,10480000.0
031102010703,15520000.0,13160000.0
031101030406,14000000.0,21280000.0
031300110402,2120000.0,880000.0
031200030802,11040000.0,9920000.0
031101030404,5840000.0,6080000.0
031200010501,5840000.0,5080000.0
031200010404,4600000.0,3120000.0
031300110403,6200000.0,13680000.0
030801031101,12680000.0,14400000.0
031300120502,5600000.0,3480000.0
031200030502,7320000.0,10320000.0
031200010601,6120000.0,4640000.0
031200030303,10240000.0,15280000.0
030801031002,13040000.0,9880000.0
031101030403,17960000.0,29200000.0
031102050301,9400000.0,5120000.0
030801031304,6360000.0,5000000.0
